Tank,date,week,average.temp,power,trophic.level,dawn1,dusk,dawn2,dawn1time,dusktime,dawn2time,hours1,hours2,temp.dawn1,temp.dusk,temp.dawn2
12,39645,3,28.001,200,PZ,12.58,13.15,12.51,0.1875,0.833333333,0.1875,15.5,8.5,24.91,28.29,25.27
13,39645,3,29.1465,250,PZ,10.82,11.43,10.22,0.1875,0.833333333,0.1875,15.5,8.5,26.03,29.49,26.70
14,39645,3,31.146,350,P,7.86,9.03,7.96,0.1875,0.833333333,0.1875,15.5,8.5,28.96,32.90,28.96
15,39645,3,24.855,100,P,11.72,12.5,12.184,0.1875,0.833333333,0.1875,15.5,8.5,22.33,26.79,22.33
16,39645,3,26.657,150,PZN,10.99,11.84,11.23,0.1875,0.833333333,0.1875,15.5,8.5,24.08,27.50,24.08
17,39645,3,29.023,250,P,10.87,11.88,10.94,0.1875,0.833333333,0.1875,15.5,8.5,23.75,26.73,23.75
18,39645,3,32.003,450,PZN,8.19,10.59,10.03,0.1875,0.833333333,0.1875,15.5,8.5,25.33,29.49,25.33
19,39645,3,26.451,150,PZ,13.13,13.67,13.05,0.1875,0.833333333,0.1875,15.5,8.5,21.08,24.80,21.08
20,39645,3,31.456,350,PZ,10.69,11.83,10.48,0.1875,0.833333333,0.1875,15.5,8.5,24.45,27.26,24.45
21,39645,3,21.249,50,PZ,11.86,12.11,11.58,0.1875,0.833333333,0.1875,15.5,8.5,22.48,25.78,22.48
22,39645,3,30.125,300,PZ,10.51,11.52,10.25,0.1875,0.833333333,0.1875,15.5,8.5,24.33,27.49,24.33
23,39645,3,31.645,400,PZN,8.86,10.65,10.39,0.1875,0.833333333,0.1875,15.5,8.5,25.94,27.65,25.94
24,39645,3,21.978,50,PZN,11.71,12.44,11.94,0.1875,0.833333333,0.1875,15.5,8.5,22.11,25.49,22.11
25,39645,3,21.236,0,P,15.68,15.83,15.68,0.1875,0.833333333,0.1875,15.5,8.5,20.26,23.51,20.26
26,39645,3,29.345,250,PZN,14.04,15.14,15.03,0.1875,0.833333333,0.1875,15.5,8.5,20.38,24.02,20.38
27,39645,3,30.102,300,P,15.61,16.65,15.71,0.1875,0.833333333,0.1875,15.5,8.5,20.88,24.11,20.88
28,39645,3,25.046,100,PZ,14.68,15.06,14.48,0.1875,0.833333333,0.1875,15.5,8.5,22.05,24.87,22.05
29,39645,3,27.63,200,P,14.63,15.63,14.96,0.1875,0.833333333,0.1875,15.5,8.5,23.03,25.77,23.03
30,39645,3,32.458,450,PZ,12.02,13.9,12.05,0.1875,0.833333333,0.1875,15.5,8.5,25.10,26.93,25.10
1,39652,4,29.123,400,P,9.81,10.99,9.2,0.1875,0.833333333,0.1875,15.5,8.5,23.07,26.61,20.63
2,39652,4,22.621,0,PZN,14.92,15.61,13.55,0.1875,0.833333333,0.1875,15.5,8.5,16.37,20.83,18.11
3,39652,4,25.687,150,P,10.05,10.34,9.5,0.1875,0.833333333,0.1875,15.5,8.5,18.48,22.72,21.68
4,39652,4,27.569,300,PZN,7.74,8.67,8.02,0.1875,0.833333333,0.1875,15.5,8.5,21.92,24.50,26.72
5,39652,4,24.658,100,PZN,10.71,11.52,10.1,0.1875,0.833333333,0.1875,15.5,8.5,18.80,22.79,19.97
6,39652,4,24.931,50,P,12.22,12.33,11.6,0.1875,0.833333333,0.1875,15.5,8.5,18.15,22.30,19.89
7,39652,4,28.456,350,PZN,6.92,7.89,7.2,0.1875,0.833333333,0.1875,15.5,8.5,25.95,27.83,27.22
8,39652,4,29.786,450,P,7.06,8.73,7.49,0.1875,0.833333333,0.1875,15.5,8.5,28.04,29.22,25.40
9,39652,4,29.124,400,PZ,6.65,8.47,6.89,0.1875,0.833333333,0.1875,15.5,8.5,26.29,27.49,27.53
10,39652,4,25.986,200,PZN,8.99,9.88,8.02,0.1875,0.833333333,0.1875,15.5,8.5,23.47,25.88,25.13
11,39652,4,24.545,0,PZ,11.67,12.41,11.96,0.1875,0.833333333,0.1875,15.5,8.5,16.72,21.12,18.76
12,39652,4,26.568,200,PZ,8.99,10.34,8.8,0.1875,0.833333333,0.1875,15.5,8.5,21.26,24.55,21.27
13,39652,4,26.456,250,PZ,10.95,12.59,11.17,0.1875,0.833333333,0.1875,15.5,8.5,23.47,26.11,24.09
14,39652,4,27.986,350,P,12.42,13.45,11.7,0.1875,0.833333333,0.1875,15.5,8.5,18.07,22.55,20.32
15,39652,4,23.581,100,P,11.28,11.42,10.55,0.1875,0.833333333,0.1875,15.5,8.5,16.43,21.41,18.78
16,39652,4,25.321,150,PZN,11.77,12.64,9.8,0.1875,0.833333333,0.1875,15.5,8.5,19.50,22.02,20.80
17,39652,4,26.2341,250,P,9.25,9.99,8.95,0.1875,0.833333333,0.1875,15.5,8.5,18.22,20.92,19.33
18,39652,4,29.783,450,PZN,8.26,9.92,7.04,0.1875,0.833333333,0.1875,15.5,8.5,26.43,28.66,23.02
19,39652,4,25.458,150,PZ,12.12,13.24,11.59,0.1875,0.833333333,0.1875,15.5,8.5,16.47,19.94,17.91
20,39652,4,27.998,350,PZ,10.02,11.78,10.22,0.1875,0.833333333,0.1875,15.5,8.5,17.93,20.81,19.55
21,39652,4,24.245,50,PZ,11.98,12.81,11.88,0.1875,0.833333333,0.1875,15.5,8.5,17.69,20.80,19.17
22,39652,4,27.326,300,PZ,8.71,10.39,8.92,0.1875,0.833333333,0.1875,15.5,8.5,21.50,23.54,21.67
23,39652,4,29.345,400,PZN,7.12,8.24,8.21,0.1875,0.833333333,0.1875,15.5,8.5,23.51,25.67,26.08
24,39652,4,23.576,50,PZN,11.13,11.93,10.99,0.1875,0.833333333,0.1875,15.5,8.5,17.55,20.28,19.09
25,39652,4,23.484,0,P,10.77,10.85,9.92,0.1875,0.833333333,0.1875,15.5,8.5,16.17,19.65,17.65
26,39652,4,26.59,250,PZN,10.29,11.19,6.69,0.1875,0.833333333,0.1875,15.5,8.5,26.64,26.34,20.96
27,39652,4,27.1236,300,P,12.19,13.04,11.76,0.1875,0.833333333,0.1875,15.5,8.5,16.25,19.45,17.76
28,39652,4,24.062,100,PZ,12.17,13.19,12.25,0.1875,0.833333333,0.1875,15.5,8.5,17.52,20.40,18.08
29,39652,4,26.452,200,P,11.29,11.88,10.98,0.1875,0.833333333,0.1875,15.5,8.5,19.37,22.49,25.99
30,39652,4,29.978,450,PZ,8.67,10.91,9.18,0.1875,0.833333333,0.1875,15.5,8.5,18.97,22.16,20.81
1,39659,5,27.023,400,P,6.14,8.05,7.12,0.1875,0.833333333,0.1875,15.5,8.5,24.65,25.68,25.22
2,39659,5,19.948,0,PZN,8.64,9.5,8.53,0.1875,0.833333333,0.1875,15.5,8.5,20.43,23.31,20.00
3,39659,5,24.684,150,P,8.4,9.07,8.58,0.1875,0.833333333,0.1875,15.5,8.5,23.03,25.61,23.02
4,39659,5,25.023,300,PZN,6.18,7.92,7.6,0.1875,0.833333333,0.1875,15.5,8.5,23.73,26.30,24.46
5,39659,5,23.945,100,PZN,7.02,8.21,7.63,0.1875,0.833333333,0.1875,15.5,8.5,22.32,25.21,22.22
6,39659,5,20.234,50,P,8.11,8.69,8.38,0.1875,0.833333333,0.1875,15.5,8.5,22.32,25.26,22.12
7,39659,5,26.789,350,PZN,5.02,6.9,6.72,0.1875,0.833333333,0.1875,15.5,8.5,26.71,29.59,27.13
8,39659,5,28.976,450,P,5.68,8.07,7.05,0.1875,0.833333333,0.1875,15.5,8.5,26.60,30.63,27.38
9,39659,5,27.213,400,PZ,4.99,7.39,6.09,0.1875,0.833333333,0.1875,15.5,8.5,26.37,29.58,26.65
10,39659,5,23.568,200,PZN,7.23,8.71,6.93,0.1875,0.833333333,0.1875,15.5,8.5,23.21,27.38,24.52
11,39659,5,19.853,0,PZ,9.08,9.37,8.92,0.1875,0.833333333,0.1875,15.5,8.5,20.66,23.87,20.73
12,39659,5,24.987,200,PZ,8.49,9.94,8.74,0.1875,0.833333333,0.1875,15.5,8.5,23.33,26.47,23.51
13,39659,5,24.568,250,PZ,6.99,8.57,7.28,0.1875,0.833333333,0.1875,15.5,8.5,23.62,26.98,24.31
14,39659,5,26.458,350,P,7.31,8.71,7.85,0.1875,0.833333333,0.1875,15.5,8.5,21.99,25.27,22.23
15,39659,5,23.966,100,P,8.64,9.24,8.808,0.1875,0.833333333,0.1875,15.5,8.5,20.72,24.44,21.03
16,39659,5,24.012,150,PZN,7.29,8.63,8.41,0.1875,0.833333333,0.1875,15.5,8.5,21.95,24.79,26.19
17,39659,5,24.356,250,P,8.17,8.95,8.291,0.1875,0.833333333,0.1875,15.5,8.5,21.28,23.53,22.44
18,39659,5,28.003,450,PZN,7.85,9.86,8.83,0.1875,0.833333333,0.1875,15.5,8.5,19.52,26.02,21.24
19,39659,5,24.698,150,PZ,6.78,8.1,7.15,0.1875,0.833333333,0.1875,15.5,8.5,19.44,22.62,23.92
20,39659,5,26.023,350,PZ,6.51,8.47,7.24,0.1875,0.833333333,0.1875,15.5,8.5,25.88,22.94,27.24
21,39659,5,20.476,50,PZ,9.09,9.98,9.28,0.1875,0.833333333,0.1875,15.5,8.5,19.68,23.84,19.87
22,39659,5,25.035,300,PZ,7.34,9.08,7.78,0.1875,0.833333333,0.1875,15.5,8.5,21.20,25.32,21.31
23,39659,5,27.123,400,PZN,6.01,7.87,6.94,0.1875,0.833333333,0.1875,15.5,8.5,23.99,26.06,26.23
24,39659,5,20.687,50,PZN,7.32,8.3,8.15,0.1875,0.833333333,0.1875,15.5,8.5,23.34,23.42,24.15
25,39659,5,19.377,0,P,8.56,9.09,8.92,0.1875,0.833333333,0.1875,15.5,8.5,21.35,22.14,21.42
26,39659,5,24.238,250,PZN,7.39,8.98,8.84,0.1875,0.833333333,0.1875,15.5,8.5,21.30,26.77,21.46
27,39659,5,25.637,300,P,8.19,9.32,8.607,0.1875,0.833333333,0.1875,15.5,8.5,19.92,22.40,20.18
28,39659,5,23.966,100,PZ,7.64,8.64,7.84,0.1875,0.833333333,0.1875,15.5,8.5,23.52,23.39,26.65
29,39659,5,25.328,200,P,7.48,8.23,7.57,0.1875,0.833333333,0.1875,15.5,8.5,21.40,24.21,21.22
30,39659,5,28.465,450,PZ,5.51,8.88,7.56,0.1875,0.833333333,0.1875,15.5,8.5,22.05,27.70,22.54
1,39666,6,28.456,400,P,6.07,6.98,6.49,0.1875,0.833333333,0.1875,15.5,8.5,26.62,27.65,26.66
2,39666,6,18.616,0,PZN,8.95,9.05,7.79,0.1875,0.833333333,0.1875,15.5,8.5,21.33,22.61,21.09
3,39666,6,23.605,150,P,7.65,7.89,7.61,0.1875,0.833333333,0.1875,15.5,8.5,24.66,24.40,24.15
4,39666,6,27.126,300,PZN,7.11,7.62,7.56,0.1875,0.833333333,0.1875,15.5,8.5,26.34,25.48,24.94
5,39666,6,22.364,100,PZN,8.21,8.36,8.28,0.1875,0.833333333,0.1875,15.5,8.5,23.48,24.35,22.99
6,39666,6,17.57,50,P,9.17,9.25,9.02,0.1875,0.833333333,0.1875,15.5,8.5,23.52,24.15,23.00
7,39666,6,28.003,350,PZN,6.28,6.9,6.61,0.1875,0.833333333,0.1875,15.5,8.5,28.23,27.30,27.93
8,39666,6,29.456,450,P,5.18,6.65,6.12,0.1875,0.833333333,0.1875,15.5,8.5,30.09,27.83,29.60
9,39666,6,28.465,400,PZ,6.19,7.7,6.83,0.1875,0.833333333,0.1875,15.5,8.5,26.97,28.75,27.61
10,39666,6,25.1238,200,PZN,7.36,7.56,6.91,0.1875,0.833333333,0.1875,15.5,8.5,26.44,25.24,26.78
11,39666,6,17.475,0,PZ,8.99,9.23,8.81,0.1875,0.833333333,0.1875,15.5,8.5,21.76,22.94,21.41
12,39666,6,25.001,200,PZ,7.09,8.03,7.45,0.1875,0.833333333,0.1875,15.5,8.5,24.98,27.95,24.91
13,39666,6,26.1465,250,PZ,6.79,8.01,7.39,0.1875,0.833333333,0.1875,15.5,8.5,24.33,24.99,24.81
14,39666,6,28.146,350,P,7.64,8.37,7.89,0.1875,0.833333333,0.1875,15.5,8.5,23.42,24.21,22.83
15,39666,6,21.855,100,P,8.91,9.02,8.76,0.1875,0.833333333,0.1875,15.5,8.5,21.76,23.28,21.42
16,39666,6,23.657,150,PZN,8.03,8.11,7.95,0.1875,0.833333333,0.1875,15.5,8.5,24.09,24.85,23.69
17,39666,6,26.023,250,P,8.19,8.55,8.13,0.1875,0.833333333,0.1875,15.5,8.5,22.97,23.96,22.25
18,39666,6,29.003,450,PZN,5.48,6.99,5.88,0.1875,0.833333333,0.1875,15.5,8.5,30.95,26.89,30.62
19,39666,6,23.451,150,PZ,8.36,9.18,8.63,0.1875,0.833333333,0.1875,15.5,8.5,21.41,22.84,21.20
20,39666,6,28.456,350,PZ,7.55,8.99,8.19,0.1875,0.833333333,0.1875,15.5,8.5,23.28,23.89,22.87
21,39666,6,18.249,50,PZ,8.58,8.98,8.5,0.1875,0.833333333,0.1875,15.5,8.5,22.79,23.88,22.43
22,39666,6,27.125,300,PZ,6.72,7.97,7.31,0.1875,0.833333333,0.1875,15.5,8.5,26.48,26.28,26.67
23,39666,6,28.645,400,PZN,6.74,7.38,7.2,0.1875,0.833333333,0.1875,15.5,8.5,29.17,26.30,25.61
24,39666,6,18.978,50,PZN,8.51,8.65,8.55,0.1875,0.833333333,0.1875,15.5,8.5,22.49,23.81,22.65
25,39666,6,18.236,0,P,8.29,8.31,8.14,0.1875,0.833333333,0.1875,15.5,8.5,21.21,22.37,20.98
26,39666,6,26.345,250,PZN,6.29,6.58,6.52,0.1875,0.833333333,0.1875,15.5,8.5,29.15,28.18,27.94
27,39666,6,27.102,300,P,6.69,7.26,6.82,0.1875,0.833333333,0.1875,15.5,8.5,27.75,26.09,28.18
28,39666,6,22.046,100,PZ,7.79,8.48,8.02,0.1875,0.833333333,0.1875,15.5,8.5,22.91,23.73,22.83
29,39666,6,24.63,200,P,7.81,8.12,7.801,0.1875,0.833333333,0.1875,15.5,8.5,24.83,23.70,27.76
30,39666,6,29.458,450,PZ,6.18,7.78,6.42,0.1875,0.833333333,0.1875,15.5,8.5,27.51,27.13,27.70
1,39673,7,27.312,400,P,5.87,7.4,6.54,0.229166667,0.833333333,0.229166667,14.5,9.5,26.19,29.50,27.21
2,39673,7,17.76,0,PZN,8.21,8.83,7.86,0.229166667,0.833333333,0.229166667,14.5,9.5,21.30,24.63,22.00
3,39673,7,22.654,150,P,7.01,7.97,7.41,0.229166667,0.833333333,0.229166667,14.5,9.5,23.98,27.41,24.58
4,39673,7,25.687,300,PZN,6.05,7.36,7.03,0.229166667,0.833333333,0.229166667,14.5,9.5,25.10,29.50,26.41
5,39673,7,21.697,100,PZN,7.48,8.3,7.98,0.229166667,0.833333333,0.229166667,14.5,9.5,22.82,25.06,23.01
6,39673,7,18.711,50,P,7.86,8.47,7.96,0.229166667,0.833333333,0.229166667,14.5,9.5,22.41,25.06,23.68
7,39673,7,26.315,350,PZN,5.215,6.7,5.87,0.229166667,0.833333333,0.229166667,14.5,9.5,27.23,32.90,28.65
8,39673,7,28.302,450,P,5.76,7.69,6.78,0.229166667,0.833333333,0.229166667,14.5,9.5,27.50,31.31,27.98
9,39673,7,27.312,400,PZ,6.696,7.98,6.781,0.229166667,0.833333333,0.229166667,14.5,9.5,26.78,30.38,28.01
10,39673,7,23.015,200,PZN,6.711,7.63,7.14,0.229166667,0.833333333,0.229166667,14.5,9.5,24.55,25.78,26.32
11,39673,7,17.95,0,PZ,8.37,8.98,8.41,0.229166667,0.833333333,0.229166667,14.5,9.5,21.55,24.82,22.16
12,39673,7,23.658,200,PZ,7.06,7.96,7.17,0.229166667,0.833333333,0.229166667,14.5,9.5,23.90,25.32,24.45
13,39673,7,24.103,250,PZ,7.61,8.55,7.712,0.229166667,0.833333333,0.229166667,14.5,9.5,24.54,25.38,24.86
14,39673,7,26.486,350,P,6.891,8.24,7.42,0.229166667,0.833333333,0.229166667,14.5,9.5,23.01,26.33,24.81
15,39673,7,21.664,100,P,7.84,8.67,8.15,0.229166667,0.833333333,0.229166667,14.5,9.5,21.89,25.81,23.02
16,39673,7,22.456,150,PZN,7.22,8.08,7.1,0.229166667,0.833333333,0.229166667,14.5,9.5,23.55,24.61,23.65
17,39673,7,24.035,250,P,7.451,8.56,7.85,0.229166667,0.833333333,0.229166667,14.5,9.5,22.33,24.46,22.98
18,39673,7,28.645,450,PZN,4.74,7.45,5.32,0.229166667,0.833333333,0.229166667,14.5,9.5,25.20,31.74,28.10
19,39673,7,22.039,150,PZ,8.39,9.23,8.49,0.229166667,0.833333333,0.229166667,14.5,9.5,20.80,23.71,21.87
20,39673,7,26.456,350,PZ,7.64,8.79,7.68,0.229166667,0.833333333,0.229166667,14.5,9.5,22.04,24.00,22.64
21,39673,7,18.746,50,PZ,7.83,8.56,7.99,0.229166667,0.833333333,0.229166667,14.5,9.5,22.21,24.87,22.85
22,39673,7,25.326,300,PZ,6.68,7.76,6.78,0.229166667,0.833333333,0.229166667,14.5,9.5,24.59,29.13,26.50
23,39673,7,27.453,400,PZN,5.56,7.53,5.65,0.229166667,0.833333333,0.229166667,14.5,9.5,24.77,31.95,27.32
24,39673,7,18.413,50,PZN,8.03,8.7,7.42,0.229166667,0.833333333,0.229166667,14.5,9.5,21.89,25.35,22.46
25,39673,7,17.665,0,P,8.49,9.09,8.59,0.229166667,0.833333333,0.229166667,14.5,9.5,20.37,23.04,21.08
26,39673,7,24.687,250,PZN,6.64,7.76,7.52,0.229166667,0.833333333,0.229166667,14.5,9.5,24.94,24.75,24.58
27,39673,7,25.138,300,P,6.21,7.47,6.74,0.229166667,0.833333333,0.229166667,14.5,9.5,24.74,29.73,23.10
28,39673,7,21.76,100,PZ,8.64,9.44,8.74,0.229166667,0.833333333,0.229166667,14.5,9.5,20.52,23.67,21.00
29,39673,7,23.65,200,P,6.56,7.58,6.89,0.229166667,0.833333333,0.229166667,14.5,9.5,22.17,28.79,24.46
30,39673,7,28.003,450,PZ,6.493,7.86,6.53,0.229166667,0.833333333,0.229166667,14.5,9.5,24.62,29.33,26.32
1,39680,8,23.789,400,P,5.02,7.2,6.52,0.229166667,0.833333333,0.229166667,14.5,9.5,25.53,27.72,25.87
2,39680,8,15.187,0,PZN,9.23,9.58,8.51,0.229166667,0.833333333,0.229166667,14.5,9.5,21.05,21.56,22.85
3,39680,8,18.654,150,P,7.29,7.99,7.7,0.229166667,0.833333333,0.229166667,14.5,9.5,23.43,26.77,24.06
4,39680,8,21.798,300,PZN,6.21,7.03,6.28,0.229166667,0.833333333,0.229166667,14.5,9.5,26.10,29.14,27.19
5,39680,8,17.687,100,PZN,7.69,8.16,8.12,0.229166667,0.833333333,0.229166667,14.5,9.5,23.25,23.87,21.87
6,39680,8,15.091,50,P,7.79,8.2,8.09,0.229166667,0.833333333,0.229166667,14.5,9.5,23.33,23.78,23.33
7,39680,8,23.003,350,PZN,5.88,6.71,5.98,0.229166667,0.833333333,0.229166667,14.5,9.5,27.25,29.08,27.65
8,39680,8,27.469,450,P,4.03,6.59,5.79,0.229166667,0.833333333,0.229166667,14.5,9.5,28.31,30.39,28.98
9,39680,8,23.996,400,PZ,6.4,8.81,7.29,0.229166667,0.833333333,0.229166667,14.5,9.5,26.76,28.62,27.08
10,39680,8,19.456,200,PZN,6.55,7.2,6.23,0.229166667,0.833333333,0.229166667,14.5,9.5,25.90,29.60,26.52
11,39680,8,17.57,0,PZ,9.35,9.86,9.05,0.229166667,0.833333333,0.229166667,14.5,9.5,21.45,21.41,21.42
12,39680,8,19.203,200,PZ,7.03,8.09,7.12,0.229166667,0.833333333,0.229166667,14.5,9.5,24.61,25.79,24.85
13,39680,8,20.158,250,PZ,6.88,8.06,7,0.229166667,0.833333333,0.229166667,14.5,9.5,25.23,26.96,26.41
14,39680,8,21.999,350,P,6.81,8.31,7.68,0.229166667,0.833333333,0.229166667,14.5,9.5,22.80,23.33,23.00
15,39680,8,17.665,100,P,8.45,9.09,8.88,0.229166667,0.833333333,0.229166667,14.5,9.5,21.10,22.02,21.64
16,39680,8,18.654,150,PZN,7.29,7.88,7.45,0.229166667,0.833333333,0.229166667,14.5,9.5,23.78,25.25,24.12
17,39680,8,20.158,250,P,7.55,8.6,8.18,0.229166667,0.833333333,0.229166667,14.5,9.5,22.07,22.84,22.04
18,39680,8,23.125,450,PZN,5.08,6.48,5.47,0.229166667,0.833333333,0.229166667,14.5,9.5,26.80,26.27,26.04
19,39680,8,18.123,150,PZ,9.01,9.95,9.08,0.229166667,0.833333333,0.229166667,14.5,9.5,20.55,21.34,20.74
20,39680,8,22.978,350,PZ,6.83,8.71,7.36,0.229166667,0.833333333,0.229166667,14.5,9.5,22.18,26.36,23.74
21,39680,8,15.7465,50,PZ,8.05,8.53,7.75,0.229166667,0.833333333,0.229166667,14.5,9.5,22.19,23.05,22.45
22,39680,8,21.648,300,PZ,6.51,8.12,6.956,0.229166667,0.833333333,0.229166667,14.5,9.5,26.07,27.04,26.74
23,39680,8,23.78,400,PZN,6.01,7.28,6.56,0.229166667,0.833333333,0.229166667,14.5,9.5,28.76,28.71,28.25
24,39680,8,15.632,50,PZN,8.14,8.53,8.35,0.229166667,0.833333333,0.229166667,14.5,9.5,22.15,22.86,22.34
25,39680,8,14.038,0,P,8.96,9.47,9.28,0.229166667,0.833333333,0.229166667,14.5,9.5,20.27,21.16,20.59
26,39680,8,20.468,250,PZN,6.25,6.96,5.96,0.229166667,0.833333333,0.229166667,14.5,9.5,26.96,27.23,27.00
27,39680,8,21.038,300,P,6.69,7.93,7.42,0.229166667,0.833333333,0.229166667,14.5,9.5,25.85,26.54,25.87
28,39680,8,17.855,100,PZ,9.19,9.91,9.08,0.229166667,0.833333333,0.229166667,14.5,9.5,20.58,21.44,20.96
29,39680,8,19.564,200,P,7.33,8.07,7.65,0.229166667,0.833333333,0.229166667,14.5,9.5,23.39,25.48,24.50
30,39680,8,24.978,450,PZ,6.51,9.02,7.43,0.229166667,0.833333333,0.229166667,14.5,9.5,25.86,26.36,25.99
1,39687,9,26.497,400,P,7.34,8.65,7.62,0.229166667,0.833333333,0.229166667,14.5,9.5,20.36,22.97,20.90
2,39687,9,16.046,0,PZN,8.42,8.97,7.43,0.229166667,0.833333333,0.229166667,14.5,9.5,20.10,20.48,20.20
3,39687,9,19.456,150,P,6.35,6.98,6.25,0.229166667,0.833333333,0.229166667,14.5,9.5,23.58,26.80,24.50
