treatment,tank,week,species,stage,size.in.mm
PZN,18,8,cyclopoid,4B3S,0.544
PZ,11,9,cyclopoid,4B3S,0.374
PZN,24,4,cyclopoid,4B4S,0.493
PZN,24,4,cyclopoid,4B4S,0.544
PZN,24,4,cyclopoid,4B4S,0.51
PZN,23,4,cyclopoid,4B4S,0.493
PZ,22,5,cyclopoid,4B4S,0.527
PZ,22,5,cyclopoid,4B4S,0.629
PZN,2,5,cyclopoid,4B4S,0.612
PZ,21,6,cyclopoid,4B4S,0.527
PZ,28,6,cyclopoid,4B4S,0.476
PZ,19,6,cyclopoid,4B4S,0.51
PZ,19,6,cyclopoid,4B4S,0.51
PZ,19,6,cyclopoid,4B4S,0.493
PZ,19,6,cyclopoid,4B4S,0.561
PZ,19,6,cyclopoid,4B4S,0.578
PZ,19,6,cyclopoid,4B4S,0.663
PZ,19,6,cyclopoid,4B4S,0.391
PZN,2,6,cyclopoid,4B4S,0.476
PZN,2,6,cyclopoid,4B4S,0.527
PZN,24,6,cyclopoid,4B4S,0.459
PZN,24,6,cyclopoid,4B4S,0.476
PZN,24,6,cyclopoid,4B4S,0.476
PZN,24,6,cyclopoid,4B4S,0.578
PZN,4,6,cyclopoid,4B4S,0.544
PZN,18,6,cyclopoid,4B4S,0.561
PZ,21,7,cyclopoid,4B4S,0.51
PZ,21,7,cyclopoid,4B4S,0.425
PZ,19,7,cyclopoid,4B4S,0.51
PZ,21,8,cyclopoid,4B4S,0.697
PZ,21,8,cyclopoid,4B4S,0.561
PZ,21,8,cyclopoid,4B4S,0.544
PZ,21,8,cyclopoid,4B4S,0.527
PZ,21,8,cyclopoid,4B4S,0.578
PZ,21,8,cyclopoid,4B4S,0.527
PZ,21,8,cyclopoid,4B4S,0.595
PZ,21,8,cyclopoid,4B4S,0.561
PZ,21,8,cyclopoid,4B4S,0.544
PZ,28,8,cyclopoid,4B4S,0.612
PZ,28,8,cyclopoid,4B4S,0.561
PZ,28,8,cyclopoid,4B4S,0.612
PZ,28,8,cyclopoid,4B4S,0.544
PZ,28,8,cyclopoid,4B4S,0.527
PZ,19,8,cyclopoid,4B4S,0.595
PZ,19,8,cyclopoid,4B4S,0.476
PZ,19,8,cyclopoid,4B4S,0.544
PZ,19,8,cyclopoid,4B4S,0.51
PZ,19,8,cyclopoid,4B4S,0.459
PZ,19,8,cyclopoid,4B4S,0.612
PZ,19,8,cyclopoid,4B4S,0.51
PZ,19,8,cyclopoid,4B4S,0.561
PZ,19,8,cyclopoid,4B4S,0.544
PZ,19,8,cyclopoid,4B4S,0.493
PZ,19,8,cyclopoid,4B4S,0.595
PZ,19,8,cyclopoid,4B4S,0.595
PZ,19,8,cyclopoid,4B4S,0.493
PZ,19,8,cyclopoid,4B4S,0.527
PZ,19,8,cyclopoid,4B4S,0.527
PZ,19,8,cyclopoid,4B4S,0.612
PZ,19,8,cyclopoid,4B4S,0.595
PZ,19,8,cyclopoid,4B4S,0.612
PZ,19,8,cyclopoid,4B4S,0.595
PZ,19,8,cyclopoid,4B4S,0.578
PZ,19,8,cyclopoid,4B4S,0.646
PZ,19,8,cyclopoid,4B4S,0.663
PZ,13,8,cyclopoid,4B4S,0.51
PZ,13,8,cyclopoid,4B4S,0.459
PZ,22,8,cyclopoid,4B4S,0.561
PZ,22,8,cyclopoid,4B4S,0.595
PZ,22,8,cyclopoid,4B4S,0.68
PZ,22,8,cyclopoid,4B4S,0.561
PZ,22,8,cyclopoid,4B4S,0.493
PZ,22,8,cyclopoid,4B4S,0.544
PZ,30,8,cyclopoid,4B4S,0.646
PZ,30,8,cyclopoid,4B4S,0.527
PZ,30,8,cyclopoid,4B4S,0.646
PZ,30,8,cyclopoid,4B4S,0.544
PZ,30,8,cyclopoid,4B4S,0.544
PZ,30,8,cyclopoid,4B4S,0.51
PZ,30,8,cyclopoid,4B4S,0.51
PZN,2,8,cyclopoid,4B4S,0.629
PZN,2,8,cyclopoid,4B4S,0.493
PZN,2,8,cyclopoid,4B4S,0.595
PZN,24,8,cyclopoid,4B4S,0.544
PZN,24,8,cyclopoid,4B4S,0.476
PZN,24,8,cyclopoid,4B4S,0.595
PZN,24,8,cyclopoid,4B4S,0.544
PZN,24,8,cyclopoid,4B4S,0.595
PZN,24,8,cyclopoid,4B4S,0.527
PZN,5,8,cyclopoid,4B4S,0.476
PZN,5,8,cyclopoid,4B4S,0.561
PZN,5,8,cyclopoid,4B4S,0.544
PZN,16,8,cyclopoid,4B4S,0.51
PZN,26,8,cyclopoid,4B4S,0.595
PZN,26,8,cyclopoid,4B4S,0.544
PZN,26,8,cyclopoid,4B4S,0.459
PZN,26,8,cyclopoid,4B4S,0.544
PZN,26,8,cyclopoid,4B4S,0.51
PZN,4,8,cyclopoid,4B4S,0.408
PZN,4,8,cyclopoid,4B4S,0.459
PZN,4,8,cyclopoid,4B4S,0.527
PZN,4,8,cyclopoid,4B4S,0.493
PZN,4,8,cyclopoid,4B4S,0.544
PZN,23,8,cyclopoid,4B4S,0.612
PZN,23,8,cyclopoid,4B4S,0.595
PZN,23,8,cyclopoid,4B4S,0.629
PZN,23,8,cyclopoid,4B4S,0.68
PZN,23,8,cyclopoid,4B4S,0.595
PZN,23,8,cyclopoid,4B4S,0.578
PZN,23,8,cyclopoid,4B4S,0.544
PZN,23,8,cyclopoid,4B4S,0.544
PZN,23,8,cyclopoid,4B4S,0.595
PZN,23,8,cyclopoid,4B4S,0.544
PZN,23,8,cyclopoid,4B4S,0.578
PZN,23,8,cyclopoid,4B4S,0.612
PZN,23,8,cyclopoid,4B4S,0.595
PZN,23,8,cyclopoid,4B4S,0.544
PZN,23,8,cyclopoid,4B4S,0.527
PZN,18,8,cyclopoid,4B4S,0.51
PZN,18,8,cyclopoid,4B4S,0.578
PZN,18,8,cyclopoid,4B4S,0.612
PZ,19,9,cyclopoid,4B4S,0.493
PZ,19,9,cyclopoid,4B4S,0.493
PZ,19,9,cyclopoid,4B4S,0.425
PZ,19,9,cyclopoid,4B4S,0.51
PZ,19,9,cyclopoid,4B4S,0.51
PZ,19,9,cyclopoid,4B4S,0.459
PZ,19,9,cyclopoid,4B4S,0.459
PZ,12,9,cyclopoid,4B4S,0.459
PZ,12,9,cyclopoid,4B4S,0.408
PZN,2,9,cyclopoid,4B4S,0.51
PZN,2,9,cyclopoid,4B4S,0.493
PZN,5,9,cyclopoid,4B4S,0.51
PZN,5,9,cyclopoid,4B4S,0.476
PZN,5,9,cyclopoid,4B4S,0.476
PZN,5,9,cyclopoid,4B4S,0.51
PZN,5,9,cyclopoid,4B4S,0.527
PZN,5,9,cyclopoid,4B4S,0.544
PZN,4,9,cyclopoid,4B4S,0.425
PZN,18,9,cyclopoid,4B4S,0.51
PZN,2,5,cyclopoid,4B5S,0.612
PZ,21,6,cyclopoid,4B5S,0.544
PZ,28,6,cyclopoid,4B5S,0.629
PZ,19,6,cyclopoid,4B5S,0.595
PZ,22,6,cyclopoid,4B5S,0.561
PZ,20,6,cyclopoid,4B5S,0.765
PZN,24,6,cyclopoid,4B5S,0.561
PZN,24,6,cyclopoid,4B5S,0.646
PZN,24,6,cyclopoid,4B5S,0.765
PZN,24,6,cyclopoid,4B5S,0.544
PZN,24,6,cyclopoid,4B5S,0.493
PZN,24,6,cyclopoid,4B5S,0.51
PZN,24,6,cyclopoid,4B5S,0.646
PZ,28,7,cyclopoid,4B5S,0.425
PZ,28,7,cyclopoid,4B5S,0.612
PZ,28,8,cyclopoid,4B5S,0.629
PZ,28,8,cyclopoid,4B5S,0.697
PZ,28,8,cyclopoid,4B5S,0.612
PZ,28,8,cyclopoid,4B5S,0.68
PZ,12,8,cyclopoid,4B5S,0.544
PZ,30,8,cyclopoid,4B5S,0.663
PZ,30,8,cyclopoid,4B5S,0.68
PZ,30,8,cyclopoid,4B5S,0.663
PZN,24,8,cyclopoid,4B5S,0.697
PZN,24,8,cyclopoid,4B5S,0.544
PZN,24,8,cyclopoid,4B5S,0.884
PZN,24,8,cyclopoid,4B5S,0.561
PZN,24,8,cyclopoid,4B5S,0.595
PZN,26,8,cyclopoid,4B5S,0.697
PZN,26,8,cyclopoid,4B5S,0.68
PZN,26,8,cyclopoid,4B5S,0.748
PZN,18,8,cyclopoid,4B5S,0.544
PZN,18,8,cyclopoid,4B5S,0.544
PZN,18,8,cyclopoid,4B5S,0.527
PZN,18,8,cyclopoid,4B5S,0.595
PZN,18,8,cyclopoid,4B5S,0.544
PZN,18,8,cyclopoid,4B5S,0.646
PZ,19,9,cyclopoid,4B5S,0.527
PZ,19,9,cyclopoid,4B5S,0.595
PZ,19,9,cyclopoid,4B5S,0.527
PZ,19,9,cyclopoid,4B5S,0.595
PZ,19,9,cyclopoid,4B5S,0.51
PZ,12,9,cyclopoid,4B5S,0.493
PZ,12,9,cyclopoid,4B5S,0.476
PZN,2,9,cyclopoid,4B5S,0.595
PZN,2,9,cyclopoid,4B5S,0.578
PZN,5,9,cyclopoid,4B5S,0.646
PZN,5,9,cyclopoid,4B5S,0.544
PZN,5,9,cyclopoid,4B5S,0.476
PZN,5,9,cyclopoid,4B5S,0.493
PZN,5,9,cyclopoid,4B5S,0.527
PZN,5,9,cyclopoid,4B5S,0.561
PZN,5,9,cyclopoid,4B5S,0.595
PZN,16,9,cyclopoid,4B5S,0.561
PZN,4,9,cyclopoid,4B5S,0.612
PZN,4,9,cyclopoid,4B5S,0.527
PZN,4,9,cyclopoid,4B5S,0.612
PZN,4,9,cyclopoid,4B5S,0.527
PZN,4,9,cyclopoid,4B5S,0.527
PZN,4,9,cyclopoid,4B5S,0.561
PZN,4,9,cyclopoid,4B5S,0.544
PZN,4,9,cyclopoid,4B5S,0.578
PZN,4,9,cyclopoid,4B5S,0.595
PZN,4,9,cyclopoid,4B5S,0.544
PZN,4,9,cyclopoid,4B5S,0.578
PZN,4,9,cyclopoid,4B5S,0.578
PZN,4,9,cyclopoid,4B5S,0.544
PZN,4,9,cyclopoid,4B5S,0.561
PZN,4,9,cyclopoid,4B5S,0.561
PZN,18,9,cyclopoid,4B5S,0.527
PZN,18,9,cyclopoid,4B5S,0.578
PZN,18,9,cyclopoid,4B5S,0.578
PZN,18,9,cyclopoid,4B5S,0.561
PZN,2,5,cyclopoid,5B4S,0.544
PZ,21,7,cyclopoid,5B4S,0.595
PZ,21,7,cyclopoid,5B4S,0.578
PZ,19,7,cyclopoid,5B4S,0.595
PZ,21,8,cyclopoid,5B4S,1.326
PZN,7,8,cyclopoid,5B4S,0.493
PZN,18,8,cyclopoid,5B4S,0.51
PZN,18,8,cyclopoid,5B4S,0.51
PZN,18,8,cyclopoid,5B4S,0.51
PZN,18,8,cyclopoid,5B4S,0.476
PZN,18,8,cyclopoid,5B4S,0.561
PZN,18,8,cyclopoid,5B4S,0.612
PZN,18,8,cyclopoid,5B4S,0.391
PZ,21,4,cyclopoid,5B5S,0.595
PZ,21,4,cyclopoid,5B5S,0.544
PZ,19,4,cyclopoid,5B5S,0.544
PZ,19,4,cyclopoid,5B5S,0.561
PZ,19,4,cyclopoid,5B5S,0.561
PZ,20,4,cyclopoid,5B5S,0.561
PZN,2,5,cyclopoid,5B5S,0.646
PZN,2,5,cyclopoid,5B5S,0.697
PZ,30,6,cyclopoid,5B5S,0.51
PZ,21,7,cyclopoid,5B5S,0.595
PZN,26,7,cyclopoid,5B5S,0.561
PZ,28,8,cyclopoid,5B5S,0.561
PZN,2,8,cyclopoid,5B5S,0.646
PZN,2,8,cyclopoid,5B5S,0.646
PZN,5,8,cyclopoid,5B5S,0.595
PZN,5,8,cyclopoid,5B5S,0.629
PZN,5,8,cyclopoid,5B5S,0.629
PZN,5,8,cyclopoid,5B5S,0.612
PZN,4,8,cyclopoid,5B5S,0.663
PZN,4,8,cyclopoid,5B5S,0.646
PZN,4,8,cyclopoid,5B5S,0.646
PZN,7,8,cyclopoid,5B5S,0.646
PZN,18,8,cyclopoid,5B5S,0.612
PZN,18,8,cyclopoid,5B5S,0.663
PZN,18,8,cyclopoid,5B5S,0.595
PZN,5,9,cyclopoid,5B5S,0.612
PZ,21,4,cyclopoid,adult,0.663
PZ,12,4,cyclopoid,adult,0.51
PZ,13,4,cyclopoid,adult,0.595
PZN,16,4,cyclopoid,adult,0.731
PZ,22,7,cyclopoid,adult,0
PZN,24,7,cyclopoid,adult,0
PZN,24,7,cyclopoid,adult,0.357
PZ,19,8,cyclopoid,adult,0.561
PZ,22,8,cyclopoid,adult,0.68
PZ,30,8,cyclopoid,adult,0.816
PZN,24,8,cyclopoid,adult,0.374
PZN,24,8,cyclopoid,adult,0.34
PZN,24,8,cyclopoid,adult,0.357
PZN,24,8,cyclopoid,adult,1.394
PZN,26,8,cyclopoid,adult,0.34
PZN,23,8,cyclopoid,adult,0
PZN,18,8,cyclopoid,adult,0.629
PZ,12,9,cyclopoid,adult,0.646
PZ,12,9,cyclopoid,adult,0.595
PZ,12,9,cyclopoid,adult,0.799
PZ,13,9,cyclopoid,adult,0.425
PZ,20,9,cyclopoid,adult,0.629
PZ,20,9,cyclopoid,adult,0.561
PZ,20,9,cyclopoid,adult,0.612
PZN,5,9,cyclopoid,adult,0.629
PZN,5,9,cyclopoid,adult,0.68
PZN,7,9,cyclopoid,adult,0.629
PZ,21,4,cyclopoid,juvenile,0.272
PZN,24,5,cyclopoid,juvenile,0.34
PZ,21,8,Daphnia,immature,0.782
PZ,21,8,Daphnia,immature,0.68
PZ,21,8,Daphnia,immature,1.003
PZ,21,8,Daphnia,immature,0.476
PZ,21,8,Daphnia,immature,0.561
PZ,21,8,Daphnia,immature,0.918
PZ,21,8,Daphnia,immature,0.867
PZ,21,8,Daphnia,immature,0.476
PZ,21,8,Daphnia,immature,0.918
PZ,21,8,Daphnia,immature,0.816
PZ,21,8,Daphnia,immature,0.816
PZ,21,8,Daphnia,immature,0.527
PZ,21,8,Daphnia,immature,0.765
PZ,21,8,Daphnia,immature,0.85
PZ,21,8,Daphnia,immature,0.425
PZ,21,8,Daphnia,immature,0.663
PZ,21,8,Daphnia,immature,0.782
PZ,28,8,Daphnia,immature,0.578
PZ,19,8,Daphnia,immature,0.986
PZ,19,8,Daphnia,immature,0.68
PZ,19,8,Daphnia,immature,0.646
PZ,19,8,Daphnia,immature,0.901
PZ,19,8,Daphnia,immature,0.986
PZ,19,8,Daphnia,immature,0.714
PZ,19,8,Daphnia,immature,0.748
PZ,19,8,Daphnia,immature,0.816
PZ,19,8,Daphnia,immature,0.663
PZ,19,8,Daphnia,immature,0.901
PZ,19,8,Daphnia,immature,0.833
PZ,19,8,Daphnia,immature,0.782
PZ,19,8,Daphnia,immature,0.68
PZ,19,8,Daphnia,immature,0.833
PZ,19,8,Daphnia,immature,0.85
PZ,19,8,Daphnia,immature,0.901
PZ,19,8,Daphnia,immature,0.595
PZ,22,8,Daphnia,immature,0.816
PZ,22,8,Daphnia,immature,0.595
PZ,22,8,Daphnia,immature,0.986
PZ,22,8,Daphnia,immature,0.527
PZ,22,8,Daphnia,immature,0.646
PZ,22,8,Daphnia,immature,0.646
PZ,22,8,Daphnia,immature,0.697
PZ,22,8,Daphnia,immature,0.765
PZ,22,8,Daphnia,immature,0.663
PZ,22,8,Daphnia,immature,0.663
PZ,22,8,Daphnia,immature,0.68
PZ,22,8,Daphnia,immature,0.68
PZ,30,8,Daphnia,immature,0.935
PZ,30,8,Daphnia,immature,0.714
PZ,30,8,Daphnia,immature,0.714
PZ,30,8,Daphnia,immature,0.697
PZ,30,8,Daphnia,immature,0.765
PZ,30,8,Daphnia,immature,0.884
PZ,30,8,Daphnia,immature,1.003
PZN,24,8,Daphnia,immature,0.765
PZN,23,8,Daphnia,immature,0.51
PZN,23,8,Daphnia,immature,0.612
PZN,23,8,Daphnia,immature,0.68
PZN,23,8,Daphnia,immature,0.459
PZN,23,8,Daphnia,immature,0.867
PZN,23,8,Daphnia,immature,0.629
PZN,23,8,Daphnia,immature,0.408
PZN,23,8,Daphnia,immature,0.425
PZN,23,8,Daphnia,immature,0.646
PZN,23,8,Daphnia,immature,0.595
PZN,23,8,Daphnia,immature,0.952
PZN,23,8,Daphnia,immature,0.527
PZN,23,8,Daphnia,immature,0.884
PZN,23,8,Daphnia,immature,0.544
PZN,23,8,Daphnia,immature,0.918
PZN,23,8,Daphnia,immature,0.544
PZ,21,4,Daphnia,immature,0.935
PZ,21,4,Daphnia,immature,0.51
PZ,21,4,Daphnia,immature,0.544
PZ,21,4,Daphnia,immature,0.51
PZ,21,4,Daphnia,immature,0.646
PZ,21,4,Daphnia,immature,0.629
PZ,21,4,Daphnia,immature,0.51
PZ,21,4,Daphnia,immature,0.697
PZ,21,4,Daphnia,immature,0.697
PZ,19,4,Daphnia,immature,0.527
PZ,13,4,Daphnia,immature,0.357
PZ,20,4,Daphnia,immature,0.51
PZ,20,4,Daphnia,immature,0.646
PZ,20,4,Daphnia,immature,0.629
PZ,20,4,Daphnia,immature,0.714
PZ,30,4,Daphnia,immature,0.68
PZ,30,4,Daphnia,immature,0.527
PZ,30,4,Daphnia,immature,0.816
PZ,30,4,Daphnia,immature,0.765
PZ,30,4,Daphnia,immature,0.782
PZ,30,4,Daphnia,immature,0.629
PZ,30,4,Daphnia,immature,0.765
PZ,30,4,Daphnia,immature,0.714
PZ,30,4,Daphnia,immature,0.714
PZ,30,4,Daphnia,immature,0.765
PZ,30,4,Daphnia,immature,0.731
PZ,30,4,Daphnia,immature,0.561
PZ,30,4,Daphnia,immature,0.646
PZ,30,4,Daphnia,immature,0.68
PZ,30,4,Daphnia,immature,0.561
PZ,30,4,Daphnia,immature,0.68
PZ,30,4,Daphnia,immature,0.748
PZ,30,4,Daphnia,immature,0.697
PZ,30,4,Daphnia,immature,0.527
PZ,30,4,Daphnia,immature,0.595
PZ,30,4,Daphnia,immature,0.68
PZ,30,4,Daphnia,immature,0.731
PZ,30,4,Daphnia,immature,0.731
PZ,30,4,Daphnia,immature,0.697
PZ,30,4,Daphnia,immature,0.765
PZ,30,4,Daphnia,immature,0.629
PZ,30,4,Daphnia,immature,0.748
PZ,30,4,Daphnia,immature,0.68
PZ,30,4,Daphnia,immature,0.68
PZ,30,4,Daphnia,immature,0.731
PZ,30,4,Daphnia,immature,0.731
PZ,30,4,Daphnia,immature,0.612
PZ,30,4,Daphnia,immature,0.816
PZ,30,4,Daphnia,immature,0.748
PZ,30,4,Daphnia,immature,0.544
PZ,30,4,Daphnia,immature,0.68
PZ,30,4,Daphnia,immature,0.765
PZ,30,4,Daphnia,immature,0.765
PZ,30,4,Daphnia,immature,0.595
PZ,30,4,Daphnia,immature,0.68
PZ,21,5,Daphnia,immature,0.595
PZ,21,5,Daphnia,immature,0.629
PZ,21,5,Daphnia,immature,0.782
PZ,30,5,Daphnia,immature,0.731
PZ,19,6,Daphnia,immature,0.816
PZ,20,6,Daphnia,immature,0.765
PZ,20,6,Daphnia,immature,0.714
PZ,20,6,Daphnia,immature,0.697
PZ,20,6,Daphnia,immature,0.748
PZ,20,6,Daphnia,immature,0.663
PZ,20,6,Daphnia,immature,0.782
PZ,20,6,Daphnia,immature,0.731
PZ,20,6,Daphnia,immature,0.612
PZ,20,6,Daphnia,immature,0.612
PZ,20,6,Daphnia,immature,0.561
PZ,20,6,Daphnia,immature,0.612
PZ,20,6,Daphnia,immature,0.816
PZ,20,6,Daphnia,immature,0.595
PZ,20,6,Daphnia,immature,0.663
PZ,30,6,Daphnia,immature,0.697
PZ,30,6,Daphnia,immature,0.867
PZ,30,6,Daphnia,immature,0.68
PZ,22,7,Daphnia,immature,0.799
PZ,22,7,Daphnia,immature,0.578
PZ,20,7,Daphnia,immature,0.646
PZ,20,7,Daphnia,immature,0.765
PZ,20,7,Daphnia,immature,0.697
PZ,20,7,Daphnia,immature,0.782
PZ,20,7,Daphnia,immature,0.714
PZ,20,9,Daphnia,immature,0.782
PZ,20,9,Daphnia,immature,0.595
PZ,20,9,Daphnia,immature,0.697
PZN,7,9,Daphnia,immature,0.357
PZN,18,9,Daphnia,immature,0.561
PZN,18,9,Daphnia,immature,0.425
PZN,18,9,Daphnia,immature,0.629
PZN,18,9,Daphnia,immature,0.51
PZN,18,9,Daphnia,immature,0.476
PZN,18,8,Daphnia,juvenile,0.442
PZN,18,8,Daphnia,juvenile,0.544
PZ,21,4,Daphnia,mature,0.986
PZ,21,4,Daphnia,mature,1.36
PZ,21,4,Daphnia,mature,1.122
PZ,21,4,Daphnia,mature,1.122
PZ,28,4,Daphnia,mature,1.36
PZ,28,4,Daphnia,mature,1.275
PZ,12,4,Daphnia,mature,1.19
PZ,20,4,Daphnia,mature,1.02
PZ,20,4,Daphnia,mature,1.53
PZ,20,4,Daphnia,mature,0.969
PZ,20,4,Daphnia,mature,0.935
PZ,20,4,Daphnia,mature,1.224
PZ,30,4,Daphnia,mature,1.445
PZ,30,4,Daphnia,mature,1.411
PZ,30,4,Daphnia,mature,1.241
PZ,30,4,Daphnia,mature,1.003
PZ,30,4,Daphnia,mature,0.85
PZ,30,4,Daphnia,mature,0.799
PZ,30,4,Daphnia,mature,1.36
PZ,30,4,Daphnia,mature,1.02
PZ,30,4,Daphnia,mature,1.19
PZ,30,4,Daphnia,mature,0.901
PZ,30,4,Daphnia,mature,1.326
PZ,30,4,Daphnia,mature,0.986
PZ,30,4,Daphnia,mature,1.428
PZ,30,4,Daphnia,mature,0.85
PZ,30,4,Daphnia,mature,0.901
PZ,30,4,Daphnia,mature,0.901
PZ,21,5,Daphnia,mature,0.833
PZ,21,5,Daphnia,mature,0.901
PZ,21,5,Daphnia,mature,0.85
PZ,20,5,Daphnia,mature,0.765
PZ,20,5,Daphnia,mature,1.207
PZ,21,6,Daphnia,mature,0.935
PZ,21,6,Daphnia,mature,0.986
PZ,20,6,Daphnia,mature,0.731
PZ,20,6,Daphnia,mature,0.85
PZ,20,6,Daphnia,mature,1.02
PZ,20,6,Daphnia,mature,0.85
PZ,20,6,Daphnia,mature,0.833
PZ,20,6,Daphnia,mature,0.884
PZ,20,6,Daphnia,mature,0.799
PZ,20,6,Daphnia,mature,0.986
PZ,20,6,Daphnia,mature,0.901
PZ,20,6,Daphnia,mature,0.833
PZ,20,6,Daphnia,mature,1.19
PZ,21,7,Daphnia,mature,0.969
PZ,20,7,Daphnia,mature,0.748
PZ,20,7,Daphnia,mature,0.714
PZ,20,7,Daphnia,mature,0.952
PZ,20,7,Daphnia,mature,0.901
PZ,20,7,Daphnia,mature,0.697
PZ,30,7,Daphnia,mature,0.697
PZ,30,7,Daphnia,mature,0.816
PZ,30,7,Daphnia,mature,0.952
PZ,30,7,Daphnia,mature,1.054
PZ,21,8,Daphnia,mature,1.156
PZ,21,8,Daphnia,mature,1.615
PZ,21,8,Daphnia,mature,1.054
PZ,21,8,Daphnia,mature,1.938
PZ,21,8,Daphnia,mature,1.751
PZ,21,8,Daphnia,mature,1.632
PZ,21,8,Daphnia,mature,1.105
PZ,21,8,Daphnia,mature,1.462
PZ,21,8,Daphnia,mature,1.377
PZ,21,8,Daphnia,mature,1.581
PZ,21,8,Daphnia,mature,1.003
PZ,21,8,Daphnia,mature,1.19
PZ,21,8,Daphnia,mature,1.445
PZ,21,8,Daphnia,mature,1.581
PZ,21,8,Daphnia,mature,1.088
PZ,28,8,Daphnia,mature,1.921
PZ,19,8,Daphnia,mature,1.377
PZ,19,8,Daphnia,mature,1.292
PZ,19,8,Daphnia,mature,1.428
PZ,19,8,Daphnia,mature,1.36
PZ,19,8,Daphnia,mature,1.105
PZ,19,8,Daphnia,mature,1.292
PZ,19,8,Daphnia,mature,1.326
PZ,19,8,Daphnia,mature,1.326
PZ,19,8,Daphnia,mature,1.53
PZ,19,8,Daphnia,mature,1.513
PZ,19,8,Daphnia,mature,1.037
PZ,19,8,Daphnia,mature,1.037
PZ,19,8,Daphnia,mature,1.87
PZ,19,8,Daphnia,mature,1.598
PZ,19,8,Daphnia,mature,1.581
PZ,19,8,Daphnia,mature,1.292
PZ,19,8,Daphnia,mature,1.53
PZ,22,8,Daphnia,mature,1.326
PZ,22,8,Daphnia,mature,1.105
PZ,22,8,Daphnia,mature,1.462
PZ,22,8,Daphnia,mature,1.19
PZ,22,8,Daphnia,mature,1.241
PZ,30,8,Daphnia,mature,1.53
PZ,30,8,Daphnia,mature,1.564
PZ,30,8,Daphnia,mature,1.292
PZ,30,8,Daphnia,mature,1.615
PZ,30,8,Daphnia,mature,1.19
PZ,30,8,Daphnia,mature,1.275
PZ,30,8,Daphnia,mature,1.615
PZ,30,8,Daphnia,mature,1.156
PZ,30,8,Daphnia,mature,1.53
PZN,23,8,Daphnia,mature,1.275
PZN,23,8,Daphnia,mature,1.36
PZN,23,8,Daphnia,mature,1.071
PZN,23,8,Daphnia,mature,1.326
