Date,Week,Tank,treatment,Watt,Temperature
7/16/12,3,18,PZN,450,30.976
7/16/12,3,19,PZ,150,24.301
7/16/12,3,20,PZ,350,28.13
7/16/12,3,21,PZ,50,22.871
7/16/12,3,22,PZ,300,27.03
7/16/12,3,23,PZN,400,29.34
7/16/12,3,24,PZN,50,22.981
7/16/12,3,25,P,0,23.901
7/16/12,3,26,PZN,250,26.015
7/16/12,3,27,P,300,27.62
7/16/12,3,28,PZ,100,24.378
7/16/12,3,29,P,200,25.563
7/16/12,3,30,PZ,450,30.978
7/17/12,3,1,P,400,31.456
7/17/12,3,2,PZN,0,21.616
7/17/12,3,3,P,150,26.605
7/17/12,3,4,PZN,300,30.126
7/17/12,3,5,PZN,100,25.364
7/17/12,3,6,P,50,20.57
7/17/12,3,7,PZN,350,31.003
7/17/12,3,8,P,450,32.456
7/17/12,3,9,PZ,400,31.465
7/17/12,3,10,PZN,200,28.124
7/17/12,3,11,PZ,0,20.475
7/17/12,3,12,PZ,200,28.001
7/17/12,3,13,PZ,250,29.147
7/17/12,3,14,P,350,31.146
7/17/12,3,15,P,100,24.855
7/17/12,3,16,PZN,150,26.657
7/17/12,3,17,P,250,29.023
7/17/12,3,18,PZN,450,32.003
7/17/12,3,19,PZ,150,26.451
7/17/12,3,20,PZ,350,31.456
7/17/12,3,21,PZ,50,21.249
7/17/12,3,22,PZ,300,30.125
7/17/12,3,23,PZN,400,31.645
7/17/12,3,24,PZN,50,21.978
7/17/12,3,25,P,0,21.236
7/17/12,3,26,PZN,250,29.345
7/17/12,3,27,P,300,30.102
7/17/12,3,28,PZ,100,25.046
7/17/12,3,29,P,200,27.63
7/17/12,3,30,PZ,450,32.458
7/18/12,4,1,P,400,27.645
7/18/12,4,2,PZN,0,20.379
7/18/12,4,3,P,150,24.987
7/18/12,4,4,PZN,300,25.312
7/18/12,4,5,PZN,100,23.668
7/18/12,4,6,P,50,21.616
7/18/12,4,7,PZN,350,26.64
7/18/12,4,8,P,450,28.649
7/18/12,4,9,PZ,400,27.456
7/18/12,4,10,PZN,200,24.986
7/18/12,4,11,PZ,0,20.95
7/18/12,4,12,PZ,200,24.998
7/18/12,4,13,PZ,250,24.056
7/18/12,4,14,P,350,26.001
7/18/12,4,15,P,100,23.519
7/18/12,4,16,PZN,150,24.028
7/18/12,4,17,P,250,24.022
7/18/12,4,18,PZN,450,28.003
7/18/12,4,19,PZ,150,24.035
7/18/12,4,20,PZ,350,26.34
7/18/12,4,21,PZ,50,21.621
7/18/12,4,22,PZ,300,25.135
7/18/12,4,23,PZN,400,27.56
7/18/12,4,24,PZN,50,21.965
7/18/12,4,25,P,0,21.426
7/18/12,4,26,PZN,250,24.597
7/18/12,4,27,P,300,25.365
7/18/12,4,28,PZ,100,23.996
7/18/12,4,29,P,200,25.358
7/18/12,4,30,PZ,450,28.978
7/19/12,4,1,P,400,31.976
7/19/12,4,2,PZN,0,21.14
7/19/12,4,3,P,150,26.642
7/19/12,4,4,PZN,300,30.138
7/19/12,4,5,PZN,100,25.987
7/19/12,4,6,P,50,19.427
7/19/12,4,7,PZN,350,31.978
7/19/12,4,8,P,450,32.334
7/19/12,4,9,PZ,400,31.746
7/19/12,4,10,PZN,200,27.653
7/19/12,4,11,PZ,0,19.427
7/19/12,4,12,PZ,200,27.56
7/19/12,4,13,PZ,250,29.125
7/19/12,4,14,P,350,31.123
7/19/12,4,15,P,100,25.238
7/19/12,4,16,PZN,150,26.674
7/19/12,4,17,P,250,28.003
7/19/12,4,18,PZN,450,32.003
7/19/12,4,19,PZ,150,26.654
7/19/12,4,20,PZ,350,31.356
7/19/12,4,21,PZ,50,19.245
7/19/12,4,22,PZ,300,30.123
7/19/12,4,23,PZN,400,31.976
7/19/12,4,24,PZN,50,19.354
7/19/12,4,25,P,0,21.14
7/19/12,4,26,PZN,250,29.846
7/19/12,4,27,P,300,30.694
7/19/12,4,28,PZ,100,25.429
7/19/12,4,29,P,200,27.569
7/19/12,4,30,PZ,450,32.441
7/20/12,4,1,P,400,28.456
7/20/12,4,2,PZN,0,19.332
7/20/12,4,3,P,150,23.364
7/20/12,4,4,PZN,300,26.316
7/20/12,4,5,PZN,100,22.986
7/20/12,4,6,P,50,19.141
7/20/12,4,7,PZN,350,27.689
7/20/12,4,8,P,450,29.003
7/20/12,4,9,PZ,400,28.976
7/20/12,4,10,PZN,200,24.542
7/20/12,4,11,PZ,0,19.808
7/20/12,4,12,PZ,200,24.37
7/20/12,4,13,PZ,250,25.315
7/20/12,4,14,P,350,27.568
7/20/12,4,15,P,100,21.806
7/20/12,4,16,PZN,150,23.397
7/20/12,4,17,P,250,25.128
7/20/12,4,18,PZN,450,29.489
7/20/12,4,19,PZ,150,23.123
7/20/12,4,20,PZ,350,27.978
7/20/12,4,21,PZ,50,19.248
7/20/12,4,22,PZ,300,26.215
7/20/12,4,23,PZN,400,28.645
7/20/12,4,24,PZN,50,19.979
7/20/12,4,25,P,0,19.141
7/20/12,4,26,PZN,250,25.397
7/20/12,4,27,P,300,26.023
7/20/12,4,28,PZ,100,22.377
7/20/12,4,29,P,200,24.025
7/20/12,4,30,PZ,450,29.99
7/21/12,4,1,P,400,28.976
7/21/12,4,2,PZN,0,19.046
7/21/12,4,3,P,150,24.653
7/21/12,4,4,PZN,300,27.976
7/21/12,4,5,PZN,100,23.687
7/21/12,4,6,P,50,20.665
7/21/12,4,7,PZN,350,28.678
7/21/12,4,8,P,450,31.998
7/21/12,4,9,PZ,400,28.968
7/21/12,4,10,PZN,200,25.359
7/21/12,4,11,PZ,0,20.57
7/21/12,4,12,PZ,200,25.029
7/21/12,4,13,PZ,250,26.589
7/21/12,4,14,P,350,28.326
7/21/12,4,15,P,100,23.329
7/21/12,4,16,PZN,150,24.653
7/21/12,4,17,P,250,26.028
7/21/12,4,18,PZN,450,31.933
7/21/12,4,19,PZ,150,24.654
7/21/12,4,20,PZ,350,28.978
7/21/12,4,21,PZ,50,20.987
7/21/12,4,22,PZ,300,27.036
7/21/12,4,23,PZN,400,29.103
7/21/12,4,24,PZN,50,20.65
7/21/12,4,25,P,0,18.855
7/21/12,4,26,PZN,250,26.978
7/21/12,4,27,P,300,27.024
7/21/12,4,28,PZ,100,23.424
7/21/12,4,29,P,200,25.013
7/21/12,4,30,PZ,450,31.768
7/22/12,4,1,P,400,30.456
7/22/12,4,2,PZN,0,20.665
7/22/12,4,3,P,150,25.647
7/22/12,4,4,PZN,300,28.643
7/22/12,4,5,PZN,100,24.65
7/22/12,4,6,P,50,21.14
7/22/12,4,7,PZN,350,29.003
7/22/12,4,8,P,450,31.976
7/22/12,4,9,PZ,400,30.456
7/22/12,4,10,PZN,200,26.018
7/22/12,4,11,PZ,0,21.331
7/22/12,4,12,PZ,200,26.658
7/22/12,4,13,PZ,250,27.023
7/22/12,4,14,P,350,29.978
7/22/12,4,15,P,100,24.569
7/22/12,4,16,PZN,150,25.347
7/22/12,4,17,P,250,27.235
7/22/12,4,18,PZN,450,31.453
7/22/12,4,19,PZ,150,25.345
7/22/12,4,20,PZ,350,29.12
7/22/12,4,21,PZ,50,21.456
7/22/12,4,22,PZ,300,28.645
7/22/12,4,23,PZN,400,30.86
7/22/12,4,24,PZN,50,21.654
7/22/12,4,25,P,0,20.475
7/22/12,4,26,PZN,250,27.039
7/22/12,4,27,P,300,28.612
7/22/12,4,28,PZ,100,24.664
7/22/12,4,29,P,200,26.65
7/22/12,4,30,PZ,450,31.444
7/23/12,4,1,P,400,30.003
7/23/12,4,2,PZN,0,21.045
7/23/12,4,3,P,150,25.645
7/23/12,4,4,PZN,300,28.364
7/23/12,4,5,PZN,100,24.632
7/23/12,4,6,P,50,20.855
7/23/12,4,7,PZN,350,29.456
7/23/12,4,8,P,450,31.445
7/23/12,4,9,PZ,400,30.201
7/23/12,4,10,PZN,200,26.651
7/23/12,4,11,PZ,0,21.14
7/23/12,4,12,PZ,200,26.567
7/23/12,4,13,PZ,250,27.851
7/23/12,4,14,P,350,29.458
7/23/12,4,15,P,100,24.76
7/23/12,4,16,PZN,150,25.953
7/23/12,4,17,P,250,27.12
7/23/12,4,18,PZN,450,31.799
7/23/12,4,19,PZ,150,25.983
7/23/12,4,20,PZ,350,29.124
7/23/12,4,21,PZ,50,20.123
7/23/12,4,22,PZ,300,28.198
7/23/12,4,23,PZN,400,30.134
7/23/12,4,24,PZN,50,20.698
7/23/12,4,25,P,0,20.76
7/23/12,4,26,PZN,250,27.975
7/23/12,4,27,P,300,28.102
7/23/12,4,28,PZ,100,24.855
7/23/12,4,29,P,200,26.058
7/23/12,4,30,PZ,450,31.678
7/24/12,4,1,P,400,29.123
7/24/12,4,2,PZN,0,22.621
7/24/12,4,3,P,150,25.687
7/24/12,4,4,PZN,300,27.569
7/24/12,4,5,PZN,100,24.658
7/24/12,4,6,P,50,24.931
7/24/12,4,7,PZN,350,28.456
7/24/12,4,8,P,450,29.786
7/24/12,4,9,PZ,400,29.124
7/24/12,4,10,PZN,200,25.986
7/24/12,4,11,PZ,0,24.545
7/24/12,4,12,PZ,200,26.568
7/24/12,4,13,PZ,250,26.456
7/24/12,4,14,P,350,27.986
7/24/12,4,15,P,100,23.581
7/24/12,4,16,PZN,150,25.321
7/24/12,4,17,P,250,26.234
7/24/12,4,18,PZN,450,29.783
7/24/12,4,19,PZ,150,25.458
7/24/12,4,20,PZ,350,27.998
7/24/12,4,21,PZ,50,24.245
7/24/12,4,22,PZ,300,27.326
7/24/12,4,23,PZN,400,29.345
7/24/12,4,24,PZN,50,23.576
7/24/12,4,25,P,0,23.484
7/24/12,4,26,PZN,250,26.59
7/24/12,4,27,P,300,27.124
7/24/12,4,28,PZ,100,24.062
7/24/12,4,29,P,200,26.452
7/24/12,4,30,PZ,450,29.978
7/25/12,5,1,P,400,28.645
7/25/12,5,2,PZN,0,23.869
7/25/12,5,3,P,150,25.65
7/25/12,5,4,PZN,300,27.698
7/25/12,5,5,PZN,100,24.685
7/25/12,5,6,P,50,25.513
7/25/12,5,7,PZN,350,27.876
7/25/12,5,8,P,450,28.456
7/25/12,5,9,PZ,400,28.645
7/25/12,5,10,PZN,200,25.456
7/25/12,5,11,PZ,0,24.931
7/25/12,5,12,PZ,200,26.123
7/25/12,5,13,PZ,250,26.456
7/25/12,5,14,P,350,28.003
7/25/12,5,15,P,100,24.351
7/25/12,5,16,PZN,150,25.112
7/25/12,5,17,P,250,26.133
7/25/12,5,18,PZN,450,28.468
7/25/12,5,19,PZ,150,25.546
7/25/12,5,20,PZ,350,28.126
7/25/12,5,21,PZ,50,24.987
7/25/12,5,22,PZ,300,27.456
7/25/12,5,23,PZN,400,28.031
7/25/12,5,24,PZN,50,23.412
7/25/12,5,25,P,0,23.196
7/25/12,5,26,PZN,250,26.58
7/25/12,5,27,P,300,27.456
7/25/12,5,28,PZ,100,24.835
7/25/12,5,29,P,200,26.325
7/25/12,5,30,PZ,450,28.978
7/26/12,5,1,P,400,31.456
7/26/12,5,2,PZN,0,24.641
7/26/12,5,3,P,150,26.654
7/26/12,5,4,PZN,300,30.456
7/26/12,5,5,PZN,100,25.369
7/26/12,5,6,P,50,25.222
7/26/12,5,7,PZN,350,31.003
7/26/12,5,8,P,450,30.978
7/26/12,5,9,PZ,400,31.458
7/26/12,5,10,PZN,200,28.265
7/26/12,5,11,PZ,0,24.448
7/26/12,5,12,PZ,200,27.126
7/26/12,5,13,PZ,250,29.326
7/26/12,5,14,P,350,30.976
7/26/12,5,15,P,100,24.835
7/26/12,5,16,PZN,150,26.354
7/26/12,5,17,P,250,29.312
7/26/12,5,18,PZN,450,31.456
7/26/12,5,19,PZ,150,26.894
7/26/12,5,20,PZ,350,30.876
7/26/12,5,21,PZ,50,25.654
7/26/12,5,22,PZ,300,30.21
7/26/12,5,23,PZN,400,31.456
7/26/12,5,24,PZN,50,26.547
7/26/12,5,25,P,0,24.351
7/26/12,5,26,PZN,250,29.501
7/26/12,5,27,P,300,30.128
7/26/12,5,28,PZ,100,25.319
7/26/12,5,29,P,200,27.856
7/26/12,5,30,PZ,450,31.032
7/27/12,5,1,P,400,29.789
7/27/12,5,2,PZN,0,24.255
7/27/12,5,3,P,150,26.321
7/27/12,5,4,PZN,300,28.56
7/27/12,5,5,PZN,100,24.987
7/27/12,5,6,P,50,21.187
7/27/12,5,7,PZN,350,29.315
7/27/12,5,8,P,450,29.456
7/27/12,5,9,PZ,400,29.786
7/27/12,5,10,PZN,200,26.128
7/27/12,5,11,PZ,0,21.282
7/27/12,5,12,PZ,200,26.45
7/27/12,5,13,PZ,250,27.102
7/27/12,5,14,P,350,29.645
7/27/12,5,15,P,100,24.351
7/27/12,5,16,PZN,150,26.876
7/27/12,5,17,P,250,27.561
7/27/12,5,18,PZN,450,29.469
7/27/12,5,19,PZ,150,26.623
7/27/12,5,20,PZ,350,29.102
7/27/12,5,21,PZ,50,21.654
7/27/12,5,22,PZ,300,28.035
