week,tank,treatment,species,size
6,30,PZ,cyclopoid,0.476
6,30,PZ,cyclopoid,0.629
6,20,PZ,cyclopoid,0.51
6,20,PZ,cyclopoid,0.595
6,20,PZ,cyclopoid,0.51
6,20,PZ,cyclopoid,0.493
6,20,PZ,cyclopoid,0.561
6,20,PZ,cyclopoid,0.578
6,20,PZ,cyclopoid,0.663
6,20,PZ,cyclopoid,0.391
6,20,PZ,Daphnia,0.816
6,2,PZN,cyclopoid,0.561
6,2,PZN,cyclopoid,0.646
6,2,PZN,cyclopoid,0.765
6,2,PZN,cyclopoid,0.544
6,2,PZN,cyclopoid,0.459
6,2,PZN,cyclopoid,0.476
6,2,PZN,cyclopoid,0.476
6,2,PZN,cyclopoid,0.493
6,2,PZN,cyclopoid,0.51
6,2,PZN,cyclopoid,0.646
6,2,PZN,cyclopoid,0.578
6,24,PZN,cyclopoid,0.544
6,4,PZN,cyclopoid,0.476
6,4,PZN,cyclopoid,0.527
6,18,PZN,cyclopoid,0.561
6,18,PZN,cyclopoid,0.476
7,21,PZ,Daphnia,0.697
7,21,PZ,Daphnia,0.816
7,21,PZ,Daphnia,0.952
7,21,PZ,Daphnia,1.054
7,28,PZ,calanoid,0.527
7,28,PZ,Daphnia,0.646
7,28,PZ,Daphnia,0.748
7,28,PZ,Daphnia,0.714
7,28,PZ,Daphnia,0.952
7,28,PZ,Daphnia,0.765
7,28,PZ,Daphnia,0.697
7,28,PZ,Daphnia,0.901
7,28,PZ,Daphnia,0.782
7,28,PZ,Daphnia,0.714
7,28,PZ,Daphnia,0.697
7,19,PZ,Daphnia,0.799
7,19,PZ,Daphnia,0.578
7,22,PZ,cyclopoid,0.595
7,22,PZ,cyclopoid,0.578
7,22,PZ,cyclopoid,0.595
7,22,PZ,cyclopoid,0.51
7,22,PZ,cyclopoid,0.425
7,20,PZ,calanoid,0.595
7,20,PZ,calanoid,0.476
7,20,PZ,cyclopoid,0.595
7,20,PZ,cyclopoid,0.51
7,30,PZ,cyclopoid,0.425
7,30,PZ,cyclopoid,0.612
7,24,PZN,cyclopoid,0.561
7,26,PZN,calanoid,0.374
7,26,PZN,cyclopoid,0.442
7,26,PZN,cyclopoid,0.357
8,21,PZ,calanoid,1.326
8,21,PZ,calanoid,0.34
8,21,PZ,cyclopoid,0.493
8,21,PZ,cyclopoid,0.408
8,21,PZ,cyclopoid,0.697
8,21,PZ,cyclopoid,0.561
8,21,PZ,cyclopoid,1.326
8,21,PZ,cyclopoid,0.544
8,21,PZ,cyclopoid,0.527
8,21,PZ,cyclopoid,0.578
8,21,PZ,cyclopoid,0.476
8,21,PZ,cyclopoid,0.527
8,21,PZ,cyclopoid,0.595
8,21,PZ,cyclopoid,0.561
8,21,PZ,cyclopoid,0.425
8,21,PZ,cyclopoid,0.544
8,21,PZ,Daphnia,0.782
8,21,PZ,Daphnia,0.68
8,21,PZ,Daphnia,1.156
8,21,PZ,Daphnia,1.003
8,21,PZ,Daphnia,0.476
8,21,PZ,Daphnia,0.561
8,21,PZ,Daphnia,1.615
8,21,PZ,Daphnia,1.054
8,21,PZ,Daphnia,1.938
8,21,PZ,Daphnia,1.751
8,21,PZ,Daphnia,0.918
8,21,PZ,Daphnia,0.867
8,21,PZ,Daphnia,1.632
8,21,PZ,Daphnia,1.105
8,21,PZ,Daphnia,1.462
8,21,PZ,Daphnia,1.377
8,21,PZ,Daphnia,1.581
8,21,PZ,Daphnia,0.476
8,21,PZ,Daphnia,0.918
8,21,PZ,Daphnia,0.816
8,21,PZ,Daphnia,0.816
8,21,PZ,Daphnia,0.527
8,21,PZ,Daphnia,0.765
8,21,PZ,Daphnia,1.003
8,21,PZ,Daphnia,0.85
8,21,PZ,Daphnia,0.425
8,21,PZ,Daphnia,1.19
8,21,PZ,Daphnia,0.663
8,21,PZ,Daphnia,0.782
8,21,PZ,Daphnia,1.445
8,21,PZ,Daphnia,1.581
8,21,PZ,Daphnia,1.088
8,28,PZ,cyclopoid,0.442
8,28,PZ,cyclopoid,0.629
8,28,PZ,cyclopoid,0.493
8,28,PZ,cyclopoid,0.459
8,28,PZ,cyclopoid,0.697
8,28,PZ,cyclopoid,0.612
8,28,PZ,cyclopoid,0.612
8,28,PZ,cyclopoid,0.561
8,28,PZ,cyclopoid,0.561
8,28,PZ,cyclopoid,0.612
8,28,PZ,cyclopoid,0.68
8,28,PZ,cyclopoid,0.544
8,28,PZ,cyclopoid,0.527
8,28,PZ,Daphnia,0.578
8,28,PZ,Daphnia,1.921
8,19,PZ,cyclopoid,0.595
8,19,PZ,cyclopoid,0.476
8,19,PZ,cyclopoid,0.544
8,19,PZ,cyclopoid,0.51
8,19,PZ,cyclopoid,0.561
8,19,PZ,cyclopoid,0.459
8,19,PZ,cyclopoid,0.612
8,19,PZ,cyclopoid,0.51
8,19,PZ,cyclopoid,0.561
8,19,PZ,cyclopoid,0.544
8,19,PZ,cyclopoid,0.493
8,19,PZ,cyclopoid,0.595
8,19,PZ,cyclopoid,0.595
8,19,PZ,cyclopoid,0.493
8,19,PZ,cyclopoid,0.527
8,19,PZ,cyclopoid,0.527
8,19,PZ,cyclopoid,0.612
8,19,PZ,cyclopoid,0.595
8,19,PZ,cyclopoid,0.612
8,19,PZ,cyclopoid,0.595
8,19,PZ,cyclopoid,0.578
8,19,PZ,cyclopoid,0.646
8,19,PZ,cyclopoid,0.663
8,19,PZ,Daphnia,1.377
8,19,PZ,Daphnia,1.292
8,19,PZ,Daphnia,1.428
8,19,PZ,Daphnia,0.986
8,19,PZ,Daphnia,1.36
8,19,PZ,Daphnia,0.68
8,19,PZ,Daphnia,0.646
8,19,PZ,Daphnia,0.901
8,19,PZ,Daphnia,1.105
8,19,PZ,Daphnia,0.986
8,19,PZ,Daphnia,1.292
8,19,PZ,Daphnia,0.714
8,19,PZ,Daphnia,0.748
8,19,PZ,Daphnia,0.816
8,19,PZ,Daphnia,0.663
8,19,PZ,Daphnia,0.901
8,19,PZ,Daphnia,0.833
8,19,PZ,Daphnia,1.326
8,19,PZ,Daphnia,1.326
8,19,PZ,Daphnia,1.53
8,19,PZ,Daphnia,1.513
8,19,PZ,Daphnia,1.037
8,19,PZ,Daphnia,1.037
8,19,PZ,Daphnia,0.782
8,19,PZ,Daphnia,0.68
8,19,PZ,Daphnia,1.87
8,19,PZ,Daphnia,1.598
8,19,PZ,Daphnia,0.833
8,19,PZ,Daphnia,0.85
8,19,PZ,Daphnia,0.901
8,19,PZ,Daphnia,0.595
8,19,PZ,Daphnia,1.581
8,19,PZ,Daphnia,1.292
8,19,PZ,Daphnia,1.53
8,12,PZ,cyclopoid,0.544
8,13,PZ,cyclopoid,0.51
8,13,PZ,cyclopoid,0.459
8,22,PZ,cyclopoid,0.561
8,22,PZ,cyclopoid,0.459
8,22,PZ,cyclopoid,0.595
8,22,PZ,cyclopoid,0.68
8,22,PZ,cyclopoid,0.68
8,22,PZ,cyclopoid,0.561
8,22,PZ,cyclopoid,0.493
8,22,PZ,cyclopoid,0.544
8,22,PZ,Daphnia,1.326
8,22,PZ,Daphnia,0.816
8,22,PZ,Daphnia,0.595
8,22,PZ,Daphnia,0.986
8,22,PZ,Daphnia,0.527
8,22,PZ,Daphnia,1.105
8,22,PZ,Daphnia,0.646
8,22,PZ,Daphnia,0.646
8,22,PZ,Daphnia,1.462
8,22,PZ,Daphnia,0.697
8,22,PZ,Daphnia,0.765
8,22,PZ,Daphnia,1.19
8,22,PZ,Daphnia,0.663
8,22,PZ,Daphnia,0.663
8,22,PZ,Daphnia,1.241
8,22,PZ,Daphnia,0.68
8,22,PZ,Daphnia,0.68
8,30,PZ,cyclopoid,0.476
8,30,PZ,cyclopoid,0.714
8,30,PZ,cyclopoid,0.646
8,30,PZ,cyclopoid,0.527
8,30,PZ,cyclopoid,0.646
8,30,PZ,cyclopoid,0.544
8,30,PZ,cyclopoid,0.544
8,30,PZ,cyclopoid,0.816
8,30,PZ,cyclopoid,0.663
8,30,PZ,cyclopoid,0.68
8,30,PZ,cyclopoid,0.51
8,30,PZ,cyclopoid,0.51
8,30,PZ,cyclopoid,0.663
8,30,PZ,Daphnia,1.53
8,30,PZ,Daphnia,0.935
8,30,PZ,Daphnia,0.714
8,30,PZ,Daphnia,0.714
8,30,PZ,Daphnia,0.697
8,30,PZ,Daphnia,1.564
8,30,PZ,Daphnia,1.292
8,30,PZ,Daphnia,1.615
8,30,PZ,Daphnia,0.765
8,30,PZ,Daphnia,1.19
8,30,PZ,Daphnia,1.275
8,30,PZ,Daphnia,0.884
8,30,PZ,Daphnia,1.615
8,30,PZ,Daphnia,1.156
8,30,PZ,Daphnia,1.53
8,30,PZ,Daphnia,1.003
8,2,PZN,cyclopoid,0.629
8,2,PZN,cyclopoid,0.442
8,2,PZN,cyclopoid,0.442
8,2,PZN,cyclopoid,0.425
8,2,PZN,cyclopoid,0.493
8,2,PZN,cyclopoid,0.408
8,2,PZN,cyclopoid,0.595
8,2,PZN,cyclopoid,0.646
8,2,PZN,cyclopoid,0.646
8,24,PZN,calanoid,1.275
8,24,PZN,calanoid,1.241
8,24,PZN,calanoid,1.479
8,24,PZN,cyclopoid,0.697
8,24,PZN,cyclopoid,0.544
8,24,PZN,cyclopoid,0.374
8,24,PZN,cyclopoid,0.34
8,24,PZN,cyclopoid,0.544
8,24,PZN,cyclopoid,0.884
8,24,PZN,cyclopoid,0.561
8,24,PZN,cyclopoid,0.595
8,24,PZN,cyclopoid,0.357
8,24,PZN,cyclopoid,0.476
8,24,PZN,cyclopoid,1.394
8,24,PZN,cyclopoid,0.493
8,24,PZN,cyclopoid,0.595
8,24,PZN,cyclopoid,0.544
8,24,PZN,cyclopoid,0.595
8,24,PZN,cyclopoid,0.527
8,24,PZN,cyclopoid,0.476
8,24,PZN,cyclopoid,0.476
8,24,PZN,Daphnia,0.765
8,5,PZN,cyclopoid,0.595
8,5,PZN,cyclopoid,0.357
8,5,PZN,cyclopoid,0.476
8,5,PZN,cyclopoid,0.629
8,5,PZN,cyclopoid,0.629
8,5,PZN,cyclopoid,0.612
8,5,PZN,cyclopoid,0.561
8,5,PZN,cyclopoid,0.544
8,16,PZN,cyclopoid,0.51
8,26,PZN,cyclopoid,0.34
8,26,PZN,cyclopoid,0.595
8,26,PZN,cyclopoid,0.697
8,26,PZN,cyclopoid,0.68
8,26,PZN,cyclopoid,0.748
8,26,PZN,cyclopoid,0.544
8,26,PZN,cyclopoid,0.459
8,26,PZN,cyclopoid,0.544
8,26,PZN,cyclopoid,0.51
8,4,PZN,cyclopoid,0.663
8,4,PZN,cyclopoid,0.425
8,4,PZN,cyclopoid,0.646
8,4,PZN,cyclopoid,0.408
8,4,PZN,cyclopoid,0.459
8,4,PZN,cyclopoid,0.527
8,4,PZN,cyclopoid,0.442
8,4,PZN,cyclopoid,0.425
8,4,PZN,cyclopoid,0.408
8,4,PZN,cyclopoid,0.425
8,4,PZN,cyclopoid,0.442
8,4,PZN,cyclopoid,0.493
8,4,PZN,cyclopoid,0.646
8,4,PZN,cyclopoid,0.34
8,4,PZN,cyclopoid,0.544
8,7,PZN,Copepod,0.476
8,7,PZN,cyclopoid,0.493
8,7,PZN,cyclopoid,0.646
8,23,PZN,calanoid,0.901
8,23,PZN,cyclopoid,0.476
8,23,PZN,cyclopoid,0.612
8,23,PZN,cyclopoid,0.595
8,23,PZN,cyclopoid,0.629
8,23,PZN,cyclopoid,0.68
8,23,PZN,cyclopoid,0.493
8,23,PZN,cyclopoid,0.595
8,23,PZN,cyclopoid,0.578
8,23,PZN,cyclopoid,0.544
8,23,PZN,cyclopoid,0.544
8,23,PZN,cyclopoid,0.595
8,23,PZN,cyclopoid,0.476
8,23,PZN,cyclopoid,0.544
8,23,PZN,cyclopoid,0.578
8,23,PZN,cyclopoid,0.612
8,23,PZN,cyclopoid,0.476
8,23,PZN,cyclopoid,0.595
8,23,PZN,cyclopoid,0.544
8,23,PZN,cyclopoid,0.527
8,23,PZN,Daphnia,1.275
8,23,PZN,Daphnia,0.51
8,23,PZN,Daphnia,0.612
8,23,PZN,Daphnia,0.68
8,23,PZN,Daphnia,0.459
8,23,PZN,Daphnia,0.867
8,23,PZN,Daphnia,0.629
8,23,PZN,Daphnia,1.36
8,23,PZN,Daphnia,0.408
8,23,PZN,Daphnia,0.425
8,23,PZN,Daphnia,1.071
8,23,PZN,Daphnia,0.646
8,23,PZN,Daphnia,0.595
8,23,PZN,Daphnia,1.326
8,23,PZN,Daphnia,1.19
8,23,PZN,Daphnia,0.952
8,23,PZN,Daphnia,1.343
8,23,PZN,Daphnia,0.527
8,23,PZN,Daphnia,0.884
8,23,PZN,Daphnia,0.544
8,23,PZN,Daphnia,0.918
8,23,PZN,Daphnia,0.544
8,23,PZN,Daphnia,1.513
8,18,PZN,cyclopoid,0.544
8,18,PZN,cyclopoid,0.612
8,18,PZN,cyclopoid,0.544
8,18,PZN,cyclopoid,0.663
8,18,PZN,cyclopoid,0.527
8,18,PZN,cyclopoid,0.595
8,18,PZN,cyclopoid,0.544
8,18,PZN,cyclopoid,0.646
8,18,PZN,cyclopoid,0.595
8,18,PZN,cyclopoid,0.51
8,18,PZN,cyclopoid,0.51
8,18,PZN,cyclopoid,0.629
8,18,PZN,cyclopoid,0.51
8,18,PZN,cyclopoid,0.476
8,18,PZN,cyclopoid,0.561
8,18,PZN,cyclopoid,0.612
8,18,PZN,cyclopoid,0.391
8,18,PZN,cyclopoid,0.51
8,18,PZN,cyclopoid,0.578
8,18,PZN,cyclopoid,0.612
8,18,PZN,cyclopoid,0.391
8,18,PZN,cyclopoid,0.544
8,18,PZN,Daphnia,0.442
8,18,PZN,Daphnia,0.544
9,11,PZ,cyclopoid,0.629
9,11,PZ,cyclopoid,0.561
9,11,PZ,cyclopoid,0.612
9,11,PZ,Daphnia,1.36
9,11,PZ,Daphnia,0.952
9,11,PZ,Daphnia,1.394
9,11,PZ,Daphnia,0.782
9,11,PZ,Daphnia,1.394
9,11,PZ,Daphnia,1.241
9,11,PZ,Daphnia,1.054
9,11,PZ,Daphnia,1.36
9,11,PZ,Daphnia,1.36
9,11,PZ,Daphnia,1.054
9,11,PZ,Daphnia,1.037
9,11,PZ,Daphnia,1.292
9,11,PZ,Daphnia,0.595
9,11,PZ,Daphnia,1.734
9,11,PZ,Daphnia,0.697
9,19,PZ,cyclopoid,0.493
9,19,PZ,cyclopoid,0.646
9,19,PZ,cyclopoid,0.595
9,19,PZ,cyclopoid,0.459
9,19,PZ,cyclopoid,0.408
9,19,PZ,cyclopoid,0.476
9,19,PZ,cyclopoid,0.799
9,12,PZ,cyclopoid,0.527
9,12,PZ,cyclopoid,0.595
9,12,PZ,cyclopoid,0.493
9,12,PZ,cyclopoid,0.527
9,12,PZ,cyclopoid,0.493
9,12,PZ,cyclopoid,0.425
9,12,PZ,cyclopoid,0.51
9,12,PZ,cyclopoid,0.51
9,12,PZ,cyclopoid,0.595
9,12,PZ,cyclopoid,0.51
9,12,PZ,cyclopoid,0.459
9,12,PZ,cyclopoid,0.459
9,12,PZ,Daphnia,0.765
9,13,PZ,cyclopoid,0.425
9,20,PZ,cyclopoid,0.374
9,2,PZN,cyclopoid,0.595
9,2,PZN,cyclopoid,0.578
9,2,PZN,cyclopoid,0.51
9,2,PZN,cyclopoid,0.493
9,2,PZN,Daphnia,0.765
9,2,PZN,Daphnia,1.037
9,2,PZN,Daphnia,1.904
9,5,PZN,cyclopoid,0.51
9,5,PZN,cyclopoid,0.612
9,5,PZN,cyclopoid,0.646
9,5,PZN,cyclopoid,0.629
9,5,PZN,cyclopoid,0.476
9,5,PZN,cyclopoid,0.544
9,5,PZN,cyclopoid,0.476
9,5,PZN,cyclopoid,0.68
9,5,PZN,cyclopoid,0.493
9,5,PZN,cyclopoid,0.527
9,5,PZN,cyclopoid,0.561
9,5,PZN,cyclopoid,0.476
9,5,PZN,cyclopoid,0.595
9,5,PZN,cyclopoid,0.51
9,5,PZN,cyclopoid,0.527
9,5,PZN,cyclopoid,0.544
9,16,PZN,cyclopoid,0.561
9,4,PZN,cyclopoid,0.425
9,4,PZN,cyclopoid,0.612
9,4,PZN,cyclopoid,0.527
9,4,PZN,cyclopoid,0.612
9,4,PZN,cyclopoid,0.527
9,4,PZN,cyclopoid,0.527
9,4,PZN,cyclopoid,0.561
9,4,PZN,cyclopoid,0.544
9,4,PZN,cyclopoid,0.578
9,4,PZN,cyclopoid,0.595
9,4,PZN,cyclopoid,0.544
9,4,PZN,cyclopoid,0.578
9,4,PZN,cyclopoid,0.578
9,4,PZN,cyclopoid,0.544
9,4,PZN,cyclopoid,0.561
9,4,PZN,cyclopoid,0.561
9,7,PZN,cyclopoid,0.629
9,7,PZN,Daphnia,0.357
9,18,PZN,cyclopoid,0.527
9,18,PZN,cyclopoid,0.578
9,18,PZN,cyclopoid,0.578
9,18,PZN,cyclopoid,0.51
9,18,PZN,cyclopoid,0.561
9,18,PZN,Daphnia,0.816
9,18,PZN,Daphnia,0.561
9,18,PZN,Daphnia,0.425
9,18,PZN,Daphnia,0.629
9,18,PZN,Daphnia,0.51
9,18,PZN,Daphnia,0.476
9,18,PZN,Daphnia,1.071
