Tank,date,week,average.temp,power,trophic.level,dawn1,dusk,dawn2,dawn1time,dusktime,dawn2time,hours1,hours2,temp.dawn1,temp.dusk,temp.dawn2
16,39652,4,25.321,150,PZN,11.77,12.64,9.8,0.1875,0.833333333,0.1875,15.5,8.5,18.4,19.2,19.6
10,39652,4,25.986,200,PZN,8.99,9.88,8.02,0.1875,0.833333333,0.1875,15.5,8.5,19.1,19.9,20.5
26,39652,4,26.59,250,PZN,10.29,11.19,6.69,0.1875,0.833333333,0.1875,15.5,8.5,20.3,20.1,21.6
4,39652,4,27.569,300,PZN,7.74,8.67,8.02,0.1875,0.833333333,0.1875,15.5,8.5,20.9,22.6,22.6
7,39652,4,28.456,350,PZN,6.92,7.89,7.2,0.1875,0.833333333,0.1875,15.5,8.5,21.3,22.3,23
23,39652,4,29.345,400,PZN,7.12,8.24,8.21,0.1875,0.833333333,0.1875,15.5,8.5,22.1,23.5,23.9
18,39652,4,29.783,450,PZN,8.26,9.92,7.04,0.1875,0.833333333,0.1875,15.5,8.5,22.9,24.8,24.7
25,39659,5,19.377,0,P,8.56,9.09,8.92,0.1875,0.833333333,0.1875,15.5,8.5,11,13.5,10.5
6,39659,5,20.234,50,P,8.11,8.69,8.38,0.1875,0.833333333,0.1875,15.5,8.5,11.8,14.8,11.6
15,39659,5,23.966,100,P,8.64,9.24,8.808,0.1875,0.833333333,0.1875,15.5,8.5,12.4,15.8,12.3
3,39659,5,24.684,150,P,8.4,9.07,8.58,0.1875,0.833333333,0.1875,15.5,8.5,13.5,16.7,13.8
29,39659,5,25.328,200,P,7.48,8.23,7.57,0.1875,0.833333333,0.1875,15.5,8.5,14.3,17.6,14.6
17,39659,5,24.356,250,P,8.17,8.95,8.291,0.1875,0.833333333,0.1875,15.5,8.5,15.6,18.4,15.1
27,39659,5,25.637,300,P,8.19,9.32,8.607,0.1875,0.833333333,0.1875,15.5,8.5,16.8,19.1,16.4
14,39659,5,26.458,350,P,7.31,8.71,7.85,0.1875,0.833333333,0.1875,15.5,8.5,17.4,20.6,17.5
1,39659,5,27.023,400,P,6.14,8.05,7.12,0.1875,0.833333333,0.1875,15.5,8.5,18.1,21.6,18.6
8,39659,5,28.976,450,P,5.68,8.07,7.05,0.1875,0.833333333,0.1875,15.5,8.5,19.8,22,19.4
11,39659,5,19.853,0,PZ,9.08,9.37,8.92,0.1875,0.833333333,0.1875,15.5,8.5,11.6,13.6,12.2
21,39659,5,20.476,50,PZ,9.09,9.98,9.28,0.1875,0.833333333,0.1875,15.5,8.5,12.9,14.6,13.4
28,39659,5,23.966,100,PZ,7.64,8.64,7.84,0.1875,0.833333333,0.1875,15.5,8.5,13.5,15.6,14
19,39659,5,24.698,150,PZ,6.78,8.1,7.15,0.1875,0.833333333,0.1875,15.5,8.5,14.9,16.4,15.2
12,39659,5,24.987,200,PZ,8.49,9.94,8.74,0.1875,0.833333333,0.1875,15.5,8.5,15.3,17.6,16.4
13,39659,5,24.568,250,PZ,6.99,8.57,7.28,0.1875,0.833333333,0.1875,15.5,8.5,16.4,18.9,17.4
22,39659,5,25.035,300,PZ,7.34,9.08,7.78,0.1875,0.833333333,0.1875,15.5,8.5,17.8,19.4,18.5
20,39659,5,26.023,350,PZ,6.51,8.47,7.24,0.1875,0.833333333,0.1875,15.5,8.5,18.6,20.3,19.4
9,39659,5,27.213,400,PZ,4.99,7.39,6.09,0.1875,0.833333333,0.1875,15.5,8.5,19.7,21.6,20.6
30,39659,5,28.465,450,PZ,5.51,8.88,7.56,0.1875,0.833333333,0.1875,15.5,8.5,20.6,22.1,21.9
2,39659,5,19.948,0,PZN,8.64,9.5,8.53,0.1875,0.833333333,0.1875,15.5,8.5,10.3,13.6,12.4
24,39659,5,20.687,50,PZN,7.32,8.3,8.15,0.1875,0.833333333,0.1875,15.5,8.5,11.8,14.6,13.5
5,39659,5,23.945,100,PZN,7.02,8.21,7.63,0.1875,0.833333333,0.1875,15.5,8.5,13.1,15.4,14.6
16,39659,5,24.012,150,PZN,7.29,8.63,8.41,0.1875,0.833333333,0.1875,15.5,8.5,14.6,16.7,15.6
10,39659,5,23.568,200,PZN,7.23,8.71,6.93,0.1875,0.833333333,0.1875,15.5,8.5,15.4,17.8,16.7
26,39659,5,24.238,250,PZN,7.39,8.98,8.84,0.1875,0.833333333,0.1875,15.5,8.5,16.7,18.4,18
4,39659,5,25.023,300,PZN,6.18,7.92,7.6,0.1875,0.833333333,0.1875,15.5,8.5,17.4,19.2,19.6
7,39659,5,26.789,350,PZN,5.02,6.9,6.72,0.1875,0.833333333,0.1875,15.5,8.5,18.9,20.3,20.1
23,39659,5,27.123,400,PZN,6.01,7.87,6.94,0.1875,0.833333333,0.1875,15.5,8.5,19.4,22.1,21.9
18,39659,5,28.003,450,PZN,7.85,9.86,8.83,0.1875,0.833333333,0.1875,15.5,8.5,20.6,23.6,22.4
25,39666,6,18.236,0,P,8.29,8.31,8.14,0.1875,0.833333333,0.1875,15.5,8.5,15.4,17.8,15.4
6,39666,6,17.57,50,P,9.17,9.25,9.02,0.1875,0.833333333,0.1875,15.5,8.5,16.4,18.4,16.5
15,39666,6,21.855,100,P,8.91,9.02,8.76,0.1875,0.833333333,0.1875,15.5,8.5,17.8,19.8,17.1
3,39666,6,23.605,150,P,7.65,7.89,7.61,0.1875,0.833333333,0.1875,15.5,8.5,18.6,20.1,17.9
29,39666,6,24.63,200,P,7.81,8.12,7.801,0.1875,0.833333333,0.1875,15.5,8.5,19.4,20.9,18.6
17,39666,6,26.023,250,P,8.19,8.55,8.13,0.1875,0.833333333,0.1875,15.5,8.5,20.1,21.5,19.4
27,39666,6,27.102,300,P,6.69,7.26,6.82,0.1875,0.833333333,0.1875,15.5,8.5,21.6,22.6,20.1
14,39666,6,28.146,350,P,7.64,8.37,7.89,0.1875,0.833333333,0.1875,15.5,8.5,22.6,23.5,21.6
1,39666,6,28.456,400,P,6.07,6.98,6.49,0.1875,0.833333333,0.1875,15.5,8.5,23.8,24.6,22
8,39666,6,29.456,450,P,5.18,6.65,6.12,0.1875,0.833333333,0.1875,15.5,8.5,24.6,25.1,23.9
11,39666,6,17.475,0,PZ,8.99,9.23,8.81,0.1875,0.833333333,0.1875,15.5,8.5,15.4,18.4,16.8
21,39666,6,18.249,50,PZ,8.58,8.98,8.5,0.1875,0.833333333,0.1875,15.5,8.5,16.8,19.1,17.9
28,39666,6,22.046,100,PZ,7.79,8.48,8.02,0.1875,0.833333333,0.1875,15.5,8.5,17.4,19.9,18.4
19,39666,6,23.451,150,PZ,8.36,9.18,8.63,0.1875,0.833333333,0.1875,15.5,8.5,18.6,20.4,19
12,39666,6,25.001,200,PZ,7.09,8.03,7.45,0.1875,0.833333333,0.1875,15.5,8.5,19.4,21.3,19.9
13,39666,6,26.1465,250,PZ,6.79,8.01,7.39,0.1875,0.833333333,0.1875,15.5,8.5,20.4,22,20.6
22,39666,6,27.125,300,PZ,6.72,7.97,7.31,0.1875,0.833333333,0.1875,15.5,8.5,21.3,23.6,21.8
20,39666,6,28.456,350,PZ,7.55,8.99,8.19,0.1875,0.833333333,0.1875,15.5,8.5,22.1,24.5,22.4
9,39666,6,28.465,400,PZ,6.19,7.7,6.83,0.1875,0.833333333,0.1875,15.5,8.5,22.9,25.6,23.4
30,39666,6,29.458,450,PZ,6.18,7.78,6.42,0.1875,0.833333333,0.1875,15.5,8.5,23.4,26.1,24.5
2,39666,6,18.616,0,PZN,8.95,9.05,7.79,0.1875,0.833333333,0.1875,15.5,8.5,16.1,17.4,17
24,39666,6,18.978,50,PZN,8.51,8.65,8.55,0.1875,0.833333333,0.1875,15.5,8.5,16.9,18.4,17.9
5,39666,6,22.364,100,PZN,8.21,8.36,8.28,0.1875,0.833333333,0.1875,15.5,8.5,17.5,19.6,18.6
16,39666,6,23.657,150,PZN,8.03,8.11,7.95,0.1875,0.833333333,0.1875,15.5,8.5,18.6,20.6,19.4
10,39666,6,25.1238,200,PZN,7.36,7.56,6.91,0.1875,0.833333333,0.1875,15.5,8.5,19.7,21.3,20.6
26,39666,6,26.345,250,PZN,6.29,6.58,6.52,0.1875,0.833333333,0.1875,15.5,8.5,20.3,22.4,21.6
4,39666,6,27.126,300,PZN,7.11,7.62,7.56,0.1875,0.833333333,0.1875,15.5,8.5,21,23.4,22.4
7,39666,6,28.003,350,PZN,6.28,6.9,6.61,0.1875,0.833333333,0.1875,15.5,8.5,22.6,22.8,23.5
23,39666,6,28.645,400,PZN,6.74,7.38,7.2,0.1875,0.833333333,0.1875,15.5,8.5,23.4,23.9,24.6
18,39666,6,29.003,450,PZN,5.48,6.99,5.88,0.1875,0.833333333,0.1875,15.5,8.5,25.6,25.6,25.6
25,39673,7,17.665,0,P,8.49,9.09,8.59,0.229166667,0.833333333,0.229166667,14.5,9.5,13.5,17.8,16.4
6,39673,7,18.711,50,P,7.86,8.47,7.96,0.229166667,0.833333333,0.229166667,14.5,9.5,14.5,18.4,17.6
15,39673,7,21.664,100,P,7.84,8.67,8.15,0.229166667,0.833333333,0.229166667,14.5,9.5,15.6,19.6,18.4
3,39673,7,22.654,150,P,7.01,7.97,7.41,0.229166667,0.833333333,0.229166667,14.5,9.5,16.3,19.9,19.6
29,39673,7,23.65,200,P,6.56,7.58,6.89,0.229166667,0.833333333,0.229166667,14.5,9.5,17.4,20.4,20.4
17,39673,7,24.035,250,P,7.451,8.56,7.85,0.229166667,0.833333333,0.229166667,14.5,9.5,18.6,21.6,21.6
27,39673,7,25.138,300,P,6.21,7.47,6.74,0.229166667,0.833333333,0.229166667,14.5,9.5,18.9,21.9,22.3
14,39673,7,26.486,350,P,6.891,8.24,7.42,0.229166667,0.833333333,0.229166667,14.5,9.5,19.5,22.3,23.4
1,39673,7,27.312,400,P,5.87,7.4,6.54,0.229166667,0.833333333,0.229166667,14.5,9.5,20.2,23.5,23.9
8,39673,7,28.302,450,P,5.76,7.69,6.78,0.229166667,0.833333333,0.229166667,14.5,9.5,21.6,24.8,24.5
11,39673,7,17.95,0,PZ,8.37,8.98,8.41,0.229166667,0.833333333,0.229166667,14.5,9.5,14.2,16.8,17.1
21,39673,7,18.746,50,PZ,7.83,8.56,7.99,0.229166667,0.833333333,0.229166667,14.5,9.5,15.3,17.4,18.4
28,39673,7,21.76,100,PZ,8.64,9.44,8.74,0.229166667,0.833333333,0.229166667,14.5,9.5,16.4,18.9,19.4
19,39673,7,22.039,150,PZ,8.39,9.23,8.49,0.229166667,0.833333333,0.229166667,14.5,9.5,17,19.4,20.1
12,39673,7,23.658,200,PZ,7.06,7.96,7.17,0.229166667,0.833333333,0.229166667,14.5,9.5,18.3,20.3,20.9
13,39673,7,24.103,250,PZ,7.61,8.55,7.712,0.229166667,0.833333333,0.229166667,14.5,9.5,18.9,21.5,21.4
22,39673,7,25.326,300,PZ,6.68,7.76,6.78,0.229166667,0.833333333,0.229166667,14.5,9.5,19.4,22.6,22.4
20,39673,7,26.456,350,PZ,7.64,8.79,7.68,0.229166667,0.833333333,0.229166667,14.5,9.5,20.6,23.4,23.5
9,39673,7,27.312,400,PZ,6.696,7.98,6.781,0.229166667,0.833333333,0.229166667,14.5,9.5,21.6,24.9,24.5
30,39673,7,28.003,450,PZ,6.493,7.86,6.53,0.229166667,0.833333333,0.229166667,14.5,9.5,22.5,25.6,25.1
2,39673,7,17.76,0,PZN,8.21,8.83,7.86,0.229166667,0.833333333,0.229166667,14.5,9.5,13.1,13.9,15.6
24,39673,7,18.413,50,PZN,8.03,8.7,7.42,0.229166667,0.833333333,0.229166667,14.5,9.5,13.9,14.5,16.4
5,39673,7,21.697,100,PZN,7.48,8.3,7.98,0.229166667,0.833333333,0.229166667,14.5,9.5,14.5,16.8,16.9
16,39673,7,22.456,150,PZN,7.22,8.08,7.1,0.229166667,0.833333333,0.229166667,14.5,9.5,15.3,15.8,17.4
10,39673,7,23.015,200,PZN,6.711,7.63,7.14,0.229166667,0.833333333,0.229166667,14.5,9.5,16.8,16.9,18.3
26,39673,7,24.687,250,PZN,6.64,7.76,7.52,0.229166667,0.833333333,0.229166667,14.5,9.5,17.8,21.5,19.4
4,39673,7,25.687,300,PZN,6.05,7.36,7.03,0.229166667,0.833333333,0.229166667,14.5,9.5,19.4,22,20.8
7,39673,7,26.315,350,PZN,5.215,6.7,5.87,0.229166667,0.833333333,0.229166667,14.5,9.5,20.4,23.6,21.9
23,39673,7,27.453,400,PZN,5.56,7.53,5.65,0.229166667,0.833333333,0.229166667,14.5,9.5,21.5,23.5,23.4
18,39673,7,28.645,450,PZN,4.74,7.45,5.32,0.229166667,0.833333333,0.229166667,14.5,9.5,22,23.6,23.9
25,39680,8,14.038,0,P,8.96,9.47,9.28,0.229166667,0.833333333,0.229166667,14.5,9.5,12.1,13.5,12.9
6,39680,8,15.091,50,P,7.79,8.2,8.09,0.229166667,0.833333333,0.229166667,14.5,9.5,12.9,13.9,13.4
15,39680,8,17.665,100,P,8.45,9.09,8.88,0.229166667,0.833333333,0.229166667,14.5,9.5,13.4,14.5,13.9
3,39680,8,18.654,150,P,7.29,7.99,7.7,0.229166667,0.833333333,0.229166667,14.5,9.5,14.1,16.1,14.5
29,39680,8,19.564,200,P,7.33,8.07,7.65,0.229166667,0.833333333,0.229166667,14.5,9.5,14.9,17.4,15.3
17,39680,8,20.158,250,P,7.55,8.6,8.18,0.229166667,0.833333333,0.229166667,14.5,9.5,15.6,18.8,16.4
27,39680,8,21.038,300,P,6.69,7.93,7.42,0.229166667,0.833333333,0.229166667,14.5,9.5,16.7,18.9,17.8
14,39680,8,21.999,350,P,6.81,8.31,7.68,0.229166667,0.833333333,0.229166667,14.5,9.5,17.8,19.7,18.9
1,39680,8,23.789,400,P,5.02,7.2,6.52,0.229166667,0.833333333,0.229166667,14.5,9.5,18.9,20.1,18.6
8,39680,8,27.469,450,P,4.03,6.59,5.79,0.229166667,0.833333333,0.229166667,14.5,9.5,20.1,20.9,20.3
11,39680,8,17.57,0,PZ,9.35,9.86,9.05,0.229166667,0.833333333,0.229166667,14.5,9.5,12.6,14.6,12.6
21,39680,8,15.7465,50,PZ,8.05,8.53,7.75,0.229166667,0.833333333,0.229166667,14.5,9.5,13.4,15.1,13.4
28,39680,8,17.855,100,PZ,9.19,9.91,9.08,0.229166667,0.833333333,0.229166667,14.5,9.5,14.5,15.9,15
19,39680,8,18.123,150,PZ,9.01,9.95,9.08,0.229166667,0.833333333,0.229166667,14.5,9.5,15.3,16.8,15.9
12,39680,8,19.203,200,PZ,7.03,8.09,7.12,0.229166667,0.833333333,0.229166667,14.5,9.5,16.7,17.8,16.4
13,39680,8,20.158,250,PZ,6.88,8.06,7,0.229166667,0.833333333,0.229166667,14.5,9.5,18.9,18.1,16.9
22,39680,8,21.648,300,PZ,6.51,8.12,6.956,0.229166667,0.833333333,0.229166667,14.5,9.5,19.1,19.1,17.6
20,39680,8,22.978,350,PZ,6.83,8.71,7.36,0.229166667,0.833333333,0.229166667,14.5,9.5,20.1,20.9,18.8
9,39680,8,23.996,400,PZ,6.4,8.81,7.29,0.229166667,0.833333333,0.229166667,14.5,9.5,20.9,22,19.7
30,39680,8,24.978,450,PZ,6.51,9.02,7.43,0.229166667,0.833333333,0.229166667,14.5,9.5,21.5,22.9,22.4
2,39680,8,15.187,0,PZN,9.23,9.58,8.51,0.229166667,0.833333333,0.229166667,14.5,9.5,12.4,15.6,13.5
24,39680,8,15.632,50,PZN,8.14,8.53,8.35,0.229166667,0.833333333,0.229166667,14.5,9.5,12.9,16.1,14.6
5,39680,8,17.687,100,PZN,7.69,8.16,8.12,0.229166667,0.833333333,0.229166667,14.5,9.5,13.4,16.9,15.7
16,39680,8,18.654,150,PZN,7.29,7.88,7.45,0.229166667,0.833333333,0.229166667,14.5,9.5,14.6,17.6,16.8
10,39680,8,19.456,200,PZN,6.55,7.2,6.23,0.229166667,0.833333333,0.229166667,14.5,9.5,15.6,18.1,17.1
26,39680,8,20.468,250,PZN,6.25,6.96,5.96,0.229166667,0.833333333,0.229166667,14.5,9.5,16.8,19.4,18.3
4,39680,8,21.798,300,PZN,6.21,7.03,6.28,0.229166667,0.833333333,0.229166667,14.5,9.5,17.6,20.1,19
7,39680,8,23.003,350,PZN,5.88,6.71,5.98,0.229166667,0.833333333,0.229166667,14.5,9.5,18.9,21.6,20.4
23,39680,8,23.78,400,PZN,6.01,7.28,6.56,0.229166667,0.833333333,0.229166667,14.5,9.5,19.7,22.4,21.6
18,39680,8,23.125,450,PZN,5.08,6.48,5.47,0.229166667,0.833333333,0.229166667,14.5,9.5,20.1,23.4,22
25,39687,9,15.951,0,P,7.71,8.05,7.52,0.229166667,0.833333333,0.229166667,14.5,9.5,11.5,13.5,14.6
6,39687,9,13.173,50,P,8.95,9.32,8.73,0.229166667,0.833333333,0.229166667,14.5,9.5,12.1,13.9,15.6
15,39687,9,18.616,100,P,9,9.57,8.91,0.229166667,0.833333333,0.229166667,14.5,9.5,12.9,15.1,16
3,39687,9,19.456,150,P,6.35,6.98,6.25,0.229166667,0.833333333,0.229166667,14.5,9.5,13.5,15.9,17.8
29,39687,9,21.236,200,P,6.36,7.02,6.09,0.229166667,0.833333333,0.229166667,14.5,9.5,14.5,16.4,18.6
