Date,Tank,Watt,average.temperature,SEM
7/8/12,7,350,33.05,0.036
7/8/12,23,400,32.567,0.111
7/8/12,18,450,33.04,0.036
7/9/12,2,0,22.314,0.303
7/9/12,24,50,23.515,0.083
7/9/12,5,100,26.252,0.124
7/9/12,16,150,27.66,0.022
7/9/12,10,200,28.273,0.146
7/9/12,26,250,28.471,0.252
7/9/12,4,300,29.392,0.367
7/9/12,7,350,31.197,0.074
7/9/12,23,400,31.593,0.069
7/9/12,18,450,32.126,0.329
7/10/12,2,0,22.726,0.177
7/10/12,24,50,23.466,0.131
7/10/12,5,100,26.959,0.007
7/10/12,16,150,27.465,0.226
7/10/12,10,200,27.628,0.539
7/10/12,26,250,27.387,0.097
7/10/12,4,300,28.232,0.203
7/10/12,7,350,29.423,0.222
7/10/12,23,400,30.12,0.055
7/10/12,18,450,31.481,0.281
7/11/12,2,0,23.107,0.282
7/11/12,24,50,23.687,0.189
7/11/12,5,100,25.632,0.111
7/11/12,16,150,26.412,0.068
7/11/12,10,200,27.443,0.172
7/11/12,26,250,28.365,0.192
7/11/12,4,300,29.418,0.251
7/11/12,7,350,30.243,0.122
7/11/12,23,400,30.914,0.031
7/11/12,18,450,31.813,0.177
7/12/12,2,0,23.233,0.286
7/12/12,24,50,24.471,0.188
7/12/12,5,100,27.212,0.054
7/12/12,16,150,28.681,0.012
7/12/12,10,200,29.243,0.115
7/12/12,26,250,30.281,0.209
7/12/12,4,300,31.109,0.006
7/12/12,7,350,32.327,0.101
7/12/12,23,400,32.645,0.166
7/12/12,18,450,33.343,0.115
7/13/12,2,0,23.901,0.291
7/13/12,24,50,25.344,0.101
7/13/12,5,100,24.533,0.27
7/13/12,16,150,25.439,0.21
7/13/12,10,200,26.554,0.213
7/13/12,26,250,27.417,0.194
7/13/12,4,300,28.661,0.177
7/13/12,7,350,29.512,0.182
7/13/12,23,400,30.205,0.129
7/13/12,18,450,31.432,0.215
7/14/12,2,0,24.092,0.275
7/14/12,24,50,24.498,0.12
7/14/12,5,100,25.131,0.321
7/14/12,16,150,26.637,0.018
7/14/12,10,200,27.606,0.041
7/14/12,26,250,28.038,0.045
7/14/12,4,300,28.184,0.082
7/14/12,7,350,29.417,0.228
7/14/12,23,400,29.848,0.065
7/14/12,18,450,31.378,0.519
7/15/12,2,0,23.394,0.863
7/15/12,24,50,21.712,0.16
7/15/12,5,100,23.762,0.118
7/15/12,16,150,24.065,0.019
7/15/12,10,200,25.129,0.114
7/15/12,26,250,26.301,0.18
7/15/12,4,300,26.418,0.193
7/15/12,7,350,27.404,0.291
7/15/12,23,400,28.534,0.13
7/15/12,18,450,29.559,0.131
7/16/12,2,0,22.251,0.827
7/16/12,24,50,22.775,0.155
7/16/12,5,100,24.021,0.199
7/16/12,16,150,24.551,0.219
7/16/12,10,200,25.425,0.069
7/16/12,26,250,26.198,0.133
7/16/12,4,300,27.542,0.276
7/16/12,7,350,28.274,0.211
7/16/12,23,400,29.229,0.099
7/16/12,18,450,30.862,0.115
7/17/12,2,0,21.109,0.335
7/17/12,24,50,21.266,0.407
7/17/12,5,100,25.088,0.148
7/17/12,16,150,26.571,0.062
7/17/12,10,200,27.918,0.148
7/17/12,26,250,29.172,0.094
7/17/12,4,300,30.118,0.008
7/17/12,7,350,31.202,0.134
7/17/12,23,400,31.522,0.062
7/17/12,18,450,32.306,0.151
7/18/12,2,0,20.918,0.303
7/18/12,24,50,21.734,0.116
7/18/12,5,100,23.728,0.141
7/18/12,16,150,24.35,0.319
7/18/12,10,200,25.114,0.122
7/18/12,26,250,24.225,0.186
7/18/12,4,300,25.271,0.07
7/18/12,7,350,26.327,0.185
7/18/12,23,400,27.554,0.055
7/18/12,18,450,28.543,0.286
7/19/12,2,0,20.569,0.571
7/19/12,24,50,19.342,0.053
7/19/12,5,100,25.551,0.225
7/19/12,16,150,26.657,0.009
7/19/12,10,200,27.594,0.03
7/19/12,26,250,28.991,0.536
7/19/12,4,300,30.318,0.188
7/19/12,7,350,31.486,0.255
7/19/12,23,400,31.899,0.077
7/19/12,18,450,32.259,0.132
7/20/12,2,0,19.427,0.198
7/20/12,24,50,19.456,0.263
7/20/12,5,100,22.39,0.341
7/20/12,16,150,23.295,0.086
7/20/12,10,200,24.312,0.152
7/20/12,26,250,25.28,0.08
7/20/12,4,300,26.185,0.086
7/20/12,7,350,27.745,0.122
7/20/12,23,400,28.692,0.152
7/20/12,18,450,29.494,0.285
7/21/12,2,0,19.49,0.543
7/21/12,24,50,20.767,0.11
7/21/12,5,100,23.48,0.107
7/21/12,16,150,24.653,0
7/21/12,10,200,25.134,0.113
7/21/12,26,250,26.532,0.276
7/21/12,4,300,27.345,0.315
7/21/12,7,350,28.661,0.188
7/21/12,23,400,29.016,0.044
7/21/12,18,450,31.9,0.068
7/22/12,2,0,20.824,0.26
7/22/12,24,50,21.417,0.15
7/22/12,5,100,24.628,0.03
7/22/12,16,150,25.446,0.1
7/22/12,10,200,26.442,0.212
7/22/12,26,250,27.099,0.068
7/22/12,4,300,28.633,0.011
7/22/12,7,350,29.367,0.307
7/22/12,23,400,30.591,0.135
7/22/12,18,450,31.624,0.176
7/23/12,2,0,20.982,0.114
7/23/12,24,50,20.559,0.222
7/23/12,5,100,24.749,0.065
7/23/12,16,150,25.86,0.108
7/23/12,10,200,26.425,0.185
7/23/12,26,250,27.649,0.267
7/23/12,4,300,28.221,0.076
7/23/12,7,350,29.346,0.111
7/23/12,23,400,30.113,0.058
7/23/12,18,450,31.641,0.104
7/24/12,2,0,23.55,0.556
7/24/12,24,50,24.251,0.391
7/24/12,5,100,24.1,0.311
7/24/12,16,150,25.489,0.107
7/24/12,10,200,26.335,0.178
7/24/12,26,250,26.427,0.104
7/24/12,4,300,27.34,0.129
7/24/12,7,350,28.147,0.155
7/24/12,23,400,29.197,0.074
7/24/12,18,450,29.849,0.065
7/25/12,2,0,23.999,0.505
7/25/12,24,50,24.637,0.631
7/25/12,5,100,24.624,0.143
7/25/12,16,150,25.436,0.165
7/25/12,10,200,25.968,0.263
7/25/12,26,250,26.39,0.133
7/25/12,4,300,27.537,0.081
7/25/12,7,350,28.002,0.072
7/25/12,23,400,28.44,0.205
7/25/12,18,450,28.634,0.172
7/26/12,2,0,24.48,0.085
7/26/12,24,50,25.808,0.39
7/26/12,5,100,25.174,0.17
7/26/12,16,150,26.634,0.156
7/26/12,10,200,27.749,0.333
7/26/12,26,250,29.38,0.061
7/26/12,4,300,30.265,0.099
7/26/12,7,350,30.952,0.039
7/26/12,23,400,31.457,0.001
7/26/12,18,450,31.155,0.151
7/27/12,2,0,23.489,1.121
7/27/12,24,50,21.766,0.371
7/27/12,5,100,24.756,0.203
7/27/12,16,150,26.607,0.16
7/27/12,10,200,26.297,0.093
7/27/12,26,250,27.33,0.133
7/27/12,4,300,28.35,0.16
7/27/12,7,350,29.354,0.158
7/27/12,23,400,29.677,0.111
7/27/12,18,450,29.634,0.171
7/28/12,2,0,21.545,1.634
7/28/12,24,50,19.597,0.253
7/28/12,5,100,23.704,1.695
7/28/12,16,150,25.407,0.29
7/28/12,10,200,25.659,0.014
7/28/12,26,250,26.369,0.254
7/28/12,4,300,27.805,0.327
7/28/12,7,350,29.217,0.107
7/28/12,23,400,29.593,0.131
7/28/12,18,450,29.691,0.151
7/29/12,2,0,19.663,0.676
7/29/12,24,50,19.72,0.117
7/29/12,5,100,21.376,0.164
7/29/12,16,150,24.144,0.875
7/29/12,10,200,26.136,0.098
7/29/12,26,250,26.391,0.081
7/29/12,4,300,27.752,0.618
7/29/12,7,350,30.05,0.036
7/29/12,23,400,29.567,0.111
7/29/12,18,450,30.04,0.036
7/30/12,2,0,19.314,0.303
7/30/12,24,50,20.515,0.083
7/30/12,5,100,23.252,0.124
7/30/12,16,150,24.66,0.022
7/30/12,10,200,25.273,0.146
7/30/12,26,250,25.471,0.252
7/30/12,4,300,26.392,0.367
7/30/12,7,350,28.197,0.074
7/30/12,23,400,28.593,0.069
7/30/12,18,450,29.126,0.329
7/31/12,2,0,19.726,0.177
7/31/12,24,50,20.466,0.131
7/31/12,5,100,23.959,0.007
7/31/12,16,150,24.465,0.226
7/31/12,10,200,24.628,0.539
7/31/12,26,250,24.387,0.097
7/31/12,4,300,25.232,0.203
7/31/12,7,350,26.423,0.222
7/31/12,23,400,27.12,0.055
7/31/12,18,450,28.481,0.281
8/1/12,2,0,20.107,0.282
8/1/12,24,50,20.687,0.189
8/1/12,5,100,22.632,0.111
8/1/12,16,150,23.412,0.068
8/1/12,10,200,24.443,0.172
8/1/12,26,250,25.365,0.192
8/1/12,4,300,26.418,0.251
8/1/12,7,350,27.243,0.122
8/1/12,23,400,27.914,0.031
8/1/12,18,450,28.813,0.177
8/2/12,2,0,20.233,0.286
8/2/12,24,50,21.471,0.188
8/2/12,5,100,24.212,0.054
8/2/12,16,150,25.681,0.012
8/2/12,10,200,26.243,0.115
8/2/12,26,250,27.281,0.209
8/2/12,4,300,28.109,0.006
8/2/12,7,350,29.327,0.101
8/2/12,23,400,29.645,0.166
8/2/12,18,450,30.343,0.115
8/3/12,2,0,20.901,0.291
8/3/12,24,50,22.344,0.101
8/3/12,5,100,21.533,0.27
8/3/12,16,150,22.439,0.21
8/3/12,10,200,23.554,0.213
8/3/12,26,250,24.417,0.194
8/3/12,4,300,25.661,0.177
8/3/12,7,350,26.512,0.182
8/3/12,23,400,27.205,0.129
8/3/12,18,450,28.432,0.215
8/4/12,2,0,21.092,0.275
8/4/12,24,50,21.498,0.12
8/4/12,5,100,22.131,0.321
8/4/12,16,150,23.637,0.018
8/4/12,10,200,24.606,0.041
8/4/12,26,250,25.038,0.045
8/4/12,4,300,25.184,0.082
8/4/12,7,350,26.417,0.228
8/4/12,23,400,26.848,0.065
8/4/12,18,450,28.378,0.519
8/5/12,2,0,20.394,0.863
8/5/12,24,50,18.712,0.16
8/5/12,5,100,20.762,0.118
8/5/12,16,150,21.065,0.019
8/5/12,10,200,22.129,0.114
8/5/12,26,250,23.301,0.18
8/5/12,4,300,23.418,0.193
8/5/12,7,350,24.404,0.291
8/5/12,23,400,25.534,0.13
8/5/12,18,450,26.559,0.131
8/6/12,2,0,19.251,0.827
8/6/12,24,50,19.775,0.155
8/6/12,5,100,21.021,0.199
8/6/12,16,150,21.551,0.219
8/6/12,10,200,22.425,0.069
8/6/12,26,250,23.198,0.133
8/6/12,4,300,24.542,0.276
8/6/12,7,350,25.274,0.211
8/6/12,23,400,26.229,0.099
8/6/12,18,450,27.862,0.115
8/7/12,2,0,18.109,0.335
8/7/12,24,50,18.266,0.407
8/7/12,5,100,22.088,0.148
8/7/12,16,150,23.571,0.062
8/7/12,10,200,24.918,0.148
8/7/12,26,250,26.172,0.094
8/7/12,4,300,27.118,0.008
8/7/12,7,350,28.202,0.134
8/7/12,23,400,28.522,0.062
8/7/12,18,450,29.306,0.151
8/8/12,2,0,17.918,0.303
8/8/12,24,50,18.734,0.116
8/8/12,5,100,20.728,0.141
8/8/12,16,150,21.35,0.319
8/8/12,10,200,22.114,0.122
8/8/12,26,250,21.225,0.186
8/8/12,4,300,22.271,0.07
8/8/12,7,350,23.327,0.185
8/8/12,23,400,24.554,0.055
8/8/12,18,450,25.543,0.286
8/9/12,2,0,17.569,0.571
8/9/12,24,50,16.342,0.053
8/9/12,5,100,22.551,0.225
8/9/12,16,150,23.657,0.009
8/9/12,10,200,24.594,0.03
8/9/12,26,250,25.991,0.536
8/9/12,4,300,27.318,0.188
8/9/12,7,350,28.486,0.255
8/9/12,23,400,28.899,0.077
8/9/12,18,450,29.259,0.132
8/10/12,2,0,16.427,0.198
8/10/12,24,50,16.456,0.263
8/10/12,5,100,19.39,0.341
8/10/12,16,150,20.295,0.086
8/10/12,10,200,21.312,0.152
8/10/12,26,250,22.28,0.08
8/10/12,4,300,23.185,0.086
8/10/12,7,350,24.745,0.122
8/10/12,23,400,25.692,0.152
8/10/12,18,450,26.494,0.285
8/11/12,2,0,16.49,0.543
8/11/12,24,50,17.767,0.11
8/11/12,5,100,20.48,0.107
8/11/12,16,150,21.653,0
8/11/12,10,200,22.134,0.113
8/11/12,26,250,23.532,0.276
8/11/12,4,300,24.345,0.315
8/11/12,7,350,25.661,0.188
8/11/12,23,400,26.016,0.044
8/11/12,18,450,28.9,0.068
8/12/12,2,0,17.824,0.26
8/12/12,24,50,18.417,0.15
8/12/12,5,100,21.628,0.03
8/12/12,16,150,22.446,0.1
8/12/12,10,200,23.442,0.212
8/12/12,26,250,24.099,0.068
8/12/12,4,300,25.633,0.011
8/12/12,7,350,26.367,0.307
8/12/12,23,400,27.591,0.135
8/12/12,18,450,28.624,0.176
8/13/12,2,0,17.982,0.114
8/13/12,24,50,17.559,0.222
8/13/12,5,100,21.749,0.065
8/13/12,16,150,22.86,0.108
8/13/12,10,200,23.425,0.185
8/13/12,26,250,24.649,0.267
8/13/12,4,300,25.221,0.076
8/13/12,7,350,26.346,0.111
8/13/12,23,400,27.113,0.058
8/13/12,18,450,28.641,0.104
8/14/12,2,0,17.792,0.084
8/14/12,24,50,18.623,0.106
8/14/12,5,100,21.707,0.028
8/14/12,16,150,22.383,0.181
8/14/12,10,200,23.441,0.213
8/14/12,26,250,24.275,0.207
8/14/12,4,300,25.384,0.161
8/14/12,7,350,26.419,0.053
8/14/12,23,400,27.359,0.047
8/14/12,18,450,28.317,0.185
8/15/12,2,0,18.14,0.53
8/15/12,24,50,18.226,0.102
8/15/12,5,100,22.441,0.108
8/15/12,16,150,23.418,0.143
8/15/12,10,200,24.417,0.198
8/15/12,26,250,25.223,0.216
8/15/12,4,300,26.529,0.129
8/15/12,7,350,27.584,0.157
8/15/12,23,400,27.934,0.036
8/15/12,18,450,28.712,0.154
8/16/12,2,0,17.728,0.51
8/16/12,24,50,18.646,0.186
8/16/12,5,100,21.93,0.038
8/16/12,16,150,22.554,0.105
8/16/12,10,200,23.242,0.224
8/16/12,26,250,23.52,0.278
8/16/12,4,300,24.353,0.151
8/16/12,7,350,25.432,0.215
8/16/12,23,400,26.646,0.149
8/16/12,18,450,27.565,0.244
8/17/12,2,0,17.187,1.05
8/17/12,24,50,17.489,0.109
8/17/12,5,100,21.771,0.046
8/17/12,16,150,21.431,0.203
8/17/12,10,200,22.984,0.838
8/17/12,26,250,25.148,0.012
8/17/12,4,300,26.192,0.077
8/17/12,7,350,27.374,0.043
8/17/12,23,400,28.002,0.017
8/17/12,18,450,28.475,0.281
8/18/12,2,0,16.49,0.606
8/18/12,24,50,18.311,0.171
8/18/12,5,100,20.321,0.183
8/18/12,16,150,22.694,0.381
8/18/12,10,200,24.549,0.286
8/18/12,26,250,25.974,0.016
8/18/12,4,300,26.276,0.123
8/18/12,7,350,26.941,0.246
8/18/12,23,400,27.533,0.236
8/18/12,18,450,28.626,0.175
8/19/12,2,0,16.329,1.209
8/19/12,24,50,16.473,0.071
8/19/12,5,100,21.074,0.017
8/19/12,16,150,22.339,0.185
8/19/12,10,200,23.039,0.289
8/19/12,26,250,23.372,0.097
8/19/12,4,300,24.393,0.151
8/19/12,7,350,25.649,0.423
8/19/12,23,400,27.13,0.107
8/19/12,18,450,28.519,0.462
8/20/12,2,0,15.728,0.193
8/20/12,24,50,15.65,0.203
8/20/12,5,100,15.913,0.124
8/20/12,16,150,17.647,0.009
8/20/12,10,200,18.695,0.151
8/20/12,26,250,19.456,0.19
8/20/12,4,300,20.39,0.142
8/20/12,7,350,20.538,0.241
8/20/12,23,400,21.36,0.168
8/20/12,18,450,24.737,0.071
8/21/12,2,0,16.044,0.906
8/21/12,24,50,15.139,0.551
8/21/12,5,100,17.641,0.036
8/21/12,16,150,18.477,0.177
8/21/12,10,200,19.408,0.107
8/21/12,26,250,20.261,0.103
8/21/12,4,300,21.495,0.232
8/21/12,7,350,22.66,0.331
8/21/12,23,400,23.855,0.071
8/21/12,18,450,25.191,1.259
