Tank,Week,average temp,Fields.Of.View,power,trophic.level,Amoeboid.Unicell,Anabaena,Anacystis,Arthrodesmus,Centric.Diatom,Chlamydomonas,Chlorococcus,Chrysophyte,Chrysospherella,Coleosphaerium,Cryptomonas,Diatom.A,Diatom.C,Diatom.w.protrusions,Dinobryon,Dinoflagellate,Euglenid,Fischerella,Fragilaria,Gloeocystis,Large.Spherical.Unicell.Cyano,Mallomonas,Merismopedia,Microcystis,Oscillatoria,Ovular.Unicell.Cyano,Paramecium,Phacus
22,1,28.035,40,300,PZ,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,1.5,1.5,0,0,0,1.5,0,0,0,0
23,1,30.123,40,400,PZN,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1.5,4.5,0,0,0,0,0,0,0,0
24,1,23.687,40,50,PZN,0,0,1.5,0,0,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,3,0,0,0,0,1.5,1.5,0,0,0
25,1,22.377,40,0,P,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5,0,0,0,0
26,1,27.238,40,250,PZN,0,0,3,0,0,0,0,1.5,0,10.5,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,3,0,0,0,0
27,1,28.637,40,300,P,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.5,0,1.5,1.5,0,0,0
28,1,26.966,40,100,PZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,28.328,40,200,P,15,0,0,0,1.5,0,0,1.5,0,0,0,15,1.5,0,0,0,0,0,18,1.5,0,0,0,0,1.5,0,0,0
30,1,31.465,40,450,PZ,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4.5,0,0,0
1,2,30.023,40,400,P,0,0,15,0,0,0,0,19.5,0,0,0,0,0,0,0,7.5,0,0,0,12,0,1.5,0,0,10.5,0,0,0
2,2,22.948,40,0,PZN,0,0,1.5,0,1.5,0,94.5,3,0,4.5,0,4.5,1.5,0,0,1.5,1.5,1.5,6,9,0,0,0,0,0,0,0,0
3,2,27.684,40,150,P,0,0,0,0,0,0,9,1.5,0,1.5,0,0,0,0,0,0,0,0,0,16.5,0,0,0,223.5,1.5,0,0,0
4,2,28.023,40,300,PZN,0,0,0,0,0,0,3,3,0,3,0,1.5,0,0,0,0,0,0,6,3,0,0,0,0,1.5,0,0,0
5,2,26.945,40,100,PZN,0,0,1.5,0,0,0,12,7.5,0,0,1.5,0,0,0,0,1.5,0,0,0,4.5,0,0,0,0,0,0,0,0
6,2,23.234,40,50,P,0,3,0,0,0,0,10.5,19.5,0,0,0,0,0,0,0,6,0,0,4.5,0,0,0,0,1.5,3,0,0,0
7,2,29.789,40,350,PZN,0,0,0,0,1.5,0,15,0,1.5,1.5,0,1.5,1.5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
8,2,31.976,40,450,P,0,0,0,0,1.5,0,21,0,0,1.5,0,9,1.5,0,0,9,0,0,0,0,0,0,0,18,9,0,0,0
9,2,30.213,40,400,PZ,0,1.5,0,0,0,0,24,6,0,0,0,6,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,6,0,0
10,2,26.568,40,200,PZN,0,0,0,0,0,0,3,3,0,0,0,1.5,0,0,0,4.5,0,0,0,19.5,0,0,0,0,0,0,0,0
11,2,22.853,40,0,PZ,0,0,0,0,0,0,201,7.5,1.5,1.5,0,0,0,0,0,1.5,0,0,3,1.5,0,0,0,0,0,0,0,0
12,2,27.987,40,200,PZ,0,0,0,0,0,0,0,3,0,4.5,0,0,0,0,0,0,0,0,0,91.5,0,0,0,0,0,0,0,0
13,2,27.568,40,250,PZ,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
14,2,29.458,40,350,P,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,7.5,0,30,0,0,0,0,3,0,0,0
15,2,26.966,40,100,P,0,0,0,0,0,0,0,21,0,0,1.5,3,0,0,0,4.5,0,0,0,3,0,0,0,0,0,0,0,0
16,2,27.012,40,150,PZN,0,0,0,0,0,0,0,6,0,0,1.5,7.5,0,0,0,0,0,0,0,6,0,0,0,13.5,3,0,0,0
17,2,27.356,40,250,P,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,4.5,0,0,0,0,7.5,0,0,0
18,2,31.003,40,450,PZN,0,1.5,0,0,0,0,51,10.5,0,1.5,0,0,0,0,0,1.5,0,0,0,9,0,0,0,0,6,0,0,0
19,2,27.698,40,150,PZ,0,0,0,0,0,0,444,4.5,0,1.5,1.5,0,0,0,0,0,0,79.5,0,0,0,0,0,1.5,10.5,0,0,0
20,2,29.023,40,350,PZ,0,4.5,0,0,0,0,141,6,0,0,0,3,0,0,0,1.5,0,0,0,21,0,1.5,0,0,1.5,0,0,0
21,2,23.476,40,50,PZ,0,0,0,0,0,0,45,1.5,0,1.5,1.5,3,0,0,0,0,0,0,0,51,0,0,0,0,3,0,0,0
22,2,28.035,40,300,PZ,0,0,0,0,0,0,115.5,0,0,1.5,0,0,0,0,0,0,0,0,0,262.5,0,1.5,0,0,0,0,0,0
23,2,30.123,40,400,PZN,0,0,0,0,0,0,9,0,0,0,3,1.5,0,0,0,0,0,0,0,9,0,10.5,0,0,6,0,0,0
24,2,23.687,40,50,PZN,0,0,0,0,0,0,6,12,0,0,1.5,3,0,0,0,0,0,0,0,10.5,0,15,0,0,0,0,0,0
25,2,22.377,40,0,P,0,0,0,0,0,0,3,12,1.5,0,0,0,0,0,0,0,0,75,0,4.5,0,0,0,0,0,0,0,0
26,2,27.238,40,250,PZN,0,0,3,0,0,0,0,0,0,0,1.5,1.5,0,0,0,0,1.5,6,0,16.5,0,1.5,0,0,0,0,0,0
27,2,28.637,40,300,P,0,0,0,0,0,0,84,0,1.5,0,1.5,6,0,0,0,0,3,4.5,0,0,0,0,0,0,6,0,0,0
28,2,26.966,40,100,PZ,0,1.5,0,0,0,0,27,0,0,0,0,1.5,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0
29,2,28.328,40,200,P,0,0,0,0,0,0,105,0,1.5,0,0,0,0,0,0,0,0,0,0,36,0,1.5,0,3,0,0,0,0
30,2,31.465,40,450,PZ,0,0,0,0,0,0,576,4.5,4.5,1.5,0,0,0,0,0,0,3,15,0,1.5,0,48,0,0,3,0,0,0
1,3,31.456,40,400,P,0,0,0,0,0,0,1044,4.5,0,1.5,0,0,0,0,0,0,0,0,0,172.5,0,0,0,0,0,0,0,0
2,3,21.616,20,0,PZN,0,0,0,0,0,0,126,18,6,0,0,0,0,0,0,0,0,0,0,528,0,3,0,0,0,0,0,0
3,3,26.605,10,150,P,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,1938,0,0,0,0,0,0,0,0
4,3,30.126,40,300,PZN,0,0,0,0,0,0,235.5,0,3,1.5,0,0,0,0,0,0,0,0,0,150,0,16.5,0,0,0,0,0,0
5,3,25.364,40,100,PZN,0,0,0,0,0,0,120,6,0,3,1.5,0,0,0,0,0,0,0,0,237,0,3,0,0,0,0,0,0
6,3,20.57,40,50,P,0,0,0,0,0,0,565.5,0,0,1.5,0,0,0,0,0,0,0,0,0,133.5,0,1.5,0,0,0,0,0,0
7,3,31.003,40,350,PZN,0,0,0,0,0,0,153,1.5,0,0,0,0,0,0,0,0,0,0,0,169.5,0,0,0,0,0,0,0,0
8,3,32.456,40,450,P,0,0,0,0,0,0,177,0,0,3,0,0,0,0,0,1.5,0,0,0,13.5,0,0,0,1.5,1.5,0,0,0
9,3,31.465,40,400,PZ,0,0,0,0,0,0,66,0,1.5,0,0,0,0,0,0,0,0,0,0,283.5,0,3,0,0,0,0,0,0
10,3,28.1238,40,200,PZN,0,0,0,0,0,0,78,1.5,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0
11,3,20.475,40,0,PZ,0,0,0,0,0,0,96,27,1.5,0,0,0,0,0,0,0,0,0,0,43.5,0,4.5,0,0,0,0,0,0
12,3,28.001,40,200,PZ,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,187.5,0,0,0,0,0,0,0,0
13,3,29.1465,40,250,PZ,0,0,0,0,0,0,123,0,3,0,3,0,0,0,0,0,0,0,0,118.5,0,1.5,0,0,3,0,0,0
14,3,31.146,40,350,P,0,0,0,0,0,0,88.5,0,0,0,1.5,0,0,0,0,0,0,0,0,51,0,0,0,1.5,7.5,0,0,0
15,3,24.855,40,100,P,0,0,0,0,0,0,78,0,1.5,0,0,0,0,0,0,1.5,0,0,0,66,0,27,0,0,0,0,0,0
16,3,26.657,40,150,PZN,0,0,6,0,0,0,13.5,1.5,1.5,3,0,0,0,0,0,0,0,0,1.5,51,0,7.5,0,0,1.5,0,0,0
17,3,29.023,40,250,P,0,0,4.5,0,0,0,484.5,3,0,1.5,0,0,0,0,0,0,0,0,0,48,0,0,0,0,6,0,0,0
18,3,32.003,20,450,PZN,0,0,3,0,0,0,639,0,0,0,6,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0
19,3,26.451,40,150,PZ,0,0,0,0,0,0,151.5,4.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,31.456,40,350,PZ,0,0,1.5,0,0,0,495,0,0,1.5,0,0,0,0,0,0,1.5,0,0,111,0,0,0,4.5,0,0,0,0
21,3,21.249,20,50,PZ,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,3,324,0,0,0,0,3,0,0,0
22,3,30.125,40,300,PZ,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,214.5,0,0,0,0,0,0,0,0
23,3,31.645,40,400,PZN,0,0,0,1.5,0,0,600,4.5,3,0,0,0,0,0,0,0,0,0,0,217.5,0,0,0,0,1.5,0,0,0
24,3,21.978,40,50,PZN,0,0,0,0,0,0,136.5,0,3,1.5,0,0,0,0,0,0,0,0,0,46.5,0,37.5,0,0,0,0,0,0
25,3,21.236,40,0,P,0,0,0,0,0,0,97.5,10.5,3,3,0,0,0,0,0,0,0,0,0,6,0,1.5,0,1.5,0,0,0,0
26,3,29.345,20,250,PZN,0,0,0,0,0,0,190.5,0,0,0,0,0,0,0,0,0,3,0,0,195,0,15,0,0,0,0,0,0
27,3,30.102,40,300,P,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,1.5,0,0,34.5,0,0,0,0,3,0,0,0
28,3,25.046,40,100,PZ,0,0,1.5,0,0,0,276,0,0,0,0,0,0,0,0,0,1.5,0,0,39,0,1.5,0,0,1.5,0,0,0
29,3,27.63,40,200,P,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,141,0,3,0,0,3,0,0,0
30,3,32.458,40,450,PZ,0,0,1.5,0,0,0,414,0,3,1.5,0,0,0,0,0,0,15,0,3,73.5,0,1.5,0,0,0,0,0,0
1,7,27.312,20,400,P,0,0,0,0,0,0,90,162,3,0,0,0,0,0,0,0,0,6,3,237,0,9,0,0,6,0,0,0
2,7,17.76,30,0,PZN,0,0,0,0,0,0,57,236,2,0,0,0,0,0,0,0,2,0,2,208,0,4,0,0,16,0,0,0
3,7,22.654,20,150,P,0,3,3,0,0,0,150,36,12,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0
4,7,25.687,40,300,PZN,0,0,4.5,0,0,0,105,34.5,7.5,0,0,0,0,0,0,0,0,1.5,0,150,0,0,0,0,13.5,0,0,0
5,7,21.697,40,100,PZN,1.5,0,15,0,0,3,9,10.5,13.5,0,0,1.5,0,0,0,0,0,0,0,126,0,0,0,0,4.5,0,0,0
6,7,18.711,20,50,P,0,0,3,0,0,0,12,51,0,3,0,0,0,0,0,0,0,0,6,681,0,3,0,0,6,0,0,0
7,7,26.315,40,350,PZN,0,0,0,0,0,0,44,85.5,0,0,0,0,0,0,0,0,0,0,0,100.5,0,0,0,0,3,0,0,0
8,7,28.302,40,450,P,1.5,0,279,0,0,0,0,3,0,0,0,1.5,0,0,0,0,0,0,0,27,0,0,0,0,4.5,0,0,0
9,7,27.312,40,400,PZ,0,0,0,0,3,1.5,40,30,1.5,0,9,0,0,0,0,4.5,0,0,0,3,0,1.5,0,0,0,0,0,0
10,7,23.015,30,200,PZN,0,0,0,0,0,0,62.4,352,0,2,0,0,0,0,0,0,0,0,0,38,0,2,0,0,8,0,0,0
11,7,17.95,40,0,PZ,0,0,25.5,0,0,0,6,9,1.5,0,0,0,0,0,0,0,0,1.5,0,178.5,0,9,0,0,0,0,0,0
12,7,23.658,30,200,PZ,0,0,60,0,0,0,12,80,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,4,0,0,0
13,7,24.103,25,250,PZ,2.4,0,9.6,0,0,0,0,295.2,2.4,0,0,2.4,0,0,0,0,0,0,2.4,172.8,0,0,0,0,0,0,0,0
14,7,26.486,40,350,P,0,0,0,0,0,0,9,276,0,0,1.5,0,0,0,0,0,0,1.5,0,33,0,0,0,0,3,0,0,0
15,7,21.664,40,100,P,0,0,156,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,109.5,0,0,0,0,0,0
16,7,22.456,40,150,PZN,0,0,1.5,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,337.5,0,3,0,0,4.5,0,0,0
17,7,24.035,40,250,P,0,0,15,0,0,0,18,4.5,1.5,0,0,0,0,0,0,0,0,0,0,72,0,1.5,0,0,1.5,0,0,0
18,7,28.645,40,450,PZN,0,0,238.5,0,0,0,78,45,12,1.5,9,0,0,0,0,1.5,0,0,0,25.5,0,0,0,0,3,0,0,0
19,7,22.039,40,150,PZ,0,0,0,0,0,0,16.5,40.5,9,0,7.5,0,0,0,0,0,0,0,0,213,0,0,0,0,4.5,0,0,0
20,7,26.456,40,350,PZ,0,0,0,0,0,0,216,0,0,3,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,6,0,0,0
21,7,18.746,40,50,PZ,0,18,3,0,0,0,12,1.5,0,0,3,0,0,0,0,0,0,0,3,19.5,0,4.5,4.5,0,0,0,0,0
22,7,25.326,40,300,PZ,0,0,4.5,0,0,0,66,96,1.5,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0
23,7,27.453,40,400,PZN,0,0,0,0,0,0,72,10.5,4.5,0,1.5,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
24,7,18.413,20,50,PZN,3,0,0,0,0,0,114.2857143,81,12,0,3,3,0,0,0,9,0,0,0,315,0,0,0,0,39,0,0,0
25,7,17.665,40,0,P,0,0,12,0,0,1.5,12,1.5,1.5,0,7.5,0,0,0,0,0,0,0,0,199.5,0,9,0,0,9,0,1.5,0
26,7,24.687,40,250,PZN,0,0,0,0,0,0,0,183,3,1.5,0,0,0,0,0,0,0,0,0,295.5,0,1.5,0,0,36,0,0,0
27,7,25.138,40,300,P,0,0,7.5,0,0,0,0,78,0,0,7.5,0,0,0,0,0,0,1.5,0,159,0,4.5,0,0,1.5,0,0,0
28,7,21.76,21,100,PZ,0,2.857142857,2.857142857,0,0,0,0,182.8571429,2.857142857,0,2.857142857,0,0,0,0,2.857142857,0,0,0,680,0,0,0,0,2.857142857,0,0,0
29,7,23.65,40,200,P,0,0,0,0,0,0,0,13.5,3,0,27,0,0,0,0,0,0,3,0,30,0,9,0,0,0,0,0,0
30,7,28.003,40,450,PZ,0,0,0,0,0,0,0,0,0,1.5,3,0,0,0,0,0,0,0,0,1.5,0,0,12,0,1.5,0,0,0
1,8,23.789,20,400,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,0,0,0,15,9,0,0,0
2,8,15.187,40,0,PZN,0,13.5,0,0,0,0,0,34.5,4.5,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
3,8,18.654,40,150,P,0,13.5,0,0,0,0,0,6,0,1.5,0,0,0,0,0,0,0,0,0,79.5,0,0,0,4.5,6,0,0,0
4,8,21.798,60,300,PZN,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,158,0,0,0,26,3,0,0,0
5,8,17.687,40,100,PZN,0,3,0,0,0,0,0,10.5,1.5,4.5,0,0,0,0,0,0,0,0,4.5,1152,0,0,0,19.5,0,0,0,0
6,8,15.091,40,50,P,0,6,0,0,0,0,9,12,0,0,6,0,0,0,0,0,0,0,0,289.5,0,0,0,15,6,0,0,0
7,8,23.003,40,350,PZN,0,1.5,0,0,0,0,12,45,0,1.5,15,0,0,0,0,0,0,0,0,58.5,0,0,0,0,0,0,0,0
8,8,27.469,45,450,P,0,0,0,0,0,0,45,7.999998,1.333333,0,26.66666,0,0,0,0,0,1.333333,0,0,0,2.666666,0,0,0,15.999996,0,0,0
9,8,23.996,40,400,PZ,0,0,0,0,0,0,9,27,0,0,31.5,0,0,0,0,0,0,0,0,102,36,0,0,0,3,7.5,0,0
10,8,19.456,40,200,PZN,0,6,0,0,0,0,9,39,0,1.5,0,0,0,0,0,0,0,0,3,69,28.5,0,0,18,3,19.5,0,0
11,8,17.57,40,0,PZ,0,13.5,0,0,0,0,6,1.5,1.5,13.5,15,0,0,0,0,0,0,0,0,213,0,0,0,18,1.5,9,0,0
12,8,19.203,20,200,PZ,0,9,6,0,0,12,18,0,0,0,39,0,0,0,0,0,0,0,0,501,0,0,0,0,0,57,0,0
13,8,20.158,40,250,PZ,0,24,0,0,0,28.5,0,1.5,0,0,4.5,0,0,0,0,0,0,0,0,46.5,0,0,0,3,7.5,1.5,0,0
14,8,21.999,40,350,P,0,3,0,0,0,0,0,43.5,0,0,0,0,0,0,0,1.5,0,0,0,31.5,0,0,0,3,1.5,1.5,0,0
15,8,17.665,40,100,P,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,7.5,1.5,0,0,27,0,0,0,0,0,0,0,0
16,8,18.654,40,150,PZN,0,6,0,0,0,0,0,28.5,0,0,0,0,0,0,0,7.5,0,0,0,81,0,0,0,0,0,0,0,0
17,8,20.158,40,250,P,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,3,0,0,0
18,8,23.125,40,450,PZN,0,0,0,0,0,0,0,7.5,0,0,13.5,0,0,0,0,0,0,0,0,3,4.5,0,0,4.5,4.5,0,0,0
19,8,18.123,40,150,PZ,0,9,0,0,0,0,22.5,12,0,0,24,0,0,0,0,0,0,0,0,117,0,4.5,0,0,1.5,0,0,0
20,8,22.978,40,350,PZ,0,0,0,0,0,0,21,0,0,1.5,6,0,0,0,0,0,0,0,4.5,7.5,0,0,0,0,3,0,0,0
21,8,15.7465,40,50,PZ,0,0,0,0,0,0,30,0,0,6,7.5,0,0,0,0,0,0,0,7.5,0,0,0,6,0,4.5,0,0,0
22,8,21.648,40,300,PZ,0,0,0,0,0,0,109.5,0,0,3,1.5,0,0,0,0,1.5,0,0,0,3,0,0,0,0,0,0,0,0
23,8,23.78,40,400,PZN,0,1.5,9,0,0,0,324,9,0,1.5,0,0,0,0,0,9,0,0,1.5,3,0,0,0,0,0,0,0,0
24,8,15.632,40,50,PZN,0,69,0,0,0,0,78,6,0,0,6,0,0,0,0,0,0,0,1.5,124.5,0,0,0,0,4.5,0,0,0
25,8,14.038,40,0,P,0,0,0,0,0,0,0,10.5,0,4.5,0,0,0,0,0,3,0,0,0,75,0,0,0,0,0,0,0,0
26,8,20.468,40,250,PZN,0,0,0,0,6,0,0,57,0,1.5,1.5,0,0,0,0,4.5,0,0,31.5,130.5,0,0,0,0,10.5,19.5,0,0
27,8,21.038,40,300,P,0,0,0,0,0,0,54,34.5,0,0,1.5,0,0,0,0,6,0,0,4.5,310.5,0,1.5,0,0,0,1.5,0,0
28,8,17.855,10,100,PZ,0,6,0,0,0,0,795,162,30,0,6,0,0,0,0,0,0,0,0,2622,0,6,0,0,0,0,0,0
29,8,19.564,20,200,P,0,15,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,36,102,0,0
30,8,24.978,40,450,PZ,0,0,18,0,3,0,0,0,1.5,0,0,0,0,0,0,3,1.5,0,4.5,0,0,0,0,0,3,6,0,0
