Tank,date,week,average.temp,power,trophic.level,dawn1,dusk,dawn2,dawn1time,dusktime,dawn2time,hours1,hours2,calc.NPP,calc.ER,chla,Pcarbon,Phyto.Shannon.Wiener.Diversity,Diatom.Cyano.Ratio,Daphnia.Copepod.Ratio,zoo.ug.carbon.liter,total.zoo.abundance.liter,community.size,Daphnia.mature.size,Daphnia.Copepod.Ratio,abundance.Daphnia,abundance.copepods,total.adults,total.juveniles,total.eggs,total.larvae
10,17/07/12,3,28.1238,200,PZN,10.43,11.49,11.08,04:30:00,20:00:00,04:30:00,15.5,8.5,1.641290323,1.157647059,7.290,400.95,0.94727773,0.0625,,,,,,,,,,,,
26,17/07/12,3,29.345,250,PZN,14.04,15.14,15.03,04:30:00,20:00:00,04:30:00,15.5,8.5,1.703225806,0.310588235,7.260,399.3,1.17894156,0.166666667,,,,,,,,,,,,
4,17/07/12,3,30.126,300,PZN,14.62,15.83,13.47,04:30:00,20:00:00,04:30:00,15.5,8.5,1.873548387,6.663529412,6.340,348.7,1.22357565,0,,,,,,,,,,,,
7,17/07/12,3,31.003,350,PZN,11.06,12.49,11.95,04:30:00,20:00:00,04:30:00,15.5,8.5,2.214193548,1.524705882,6.050,332.75,1.10514938,0,,,,,,,,,,,,
23,17/07/12,3,31.645,400,PZN,8.86,10.65,10.39,04:30:00,20:00:00,04:30:00,15.5,8.5,2.771612903,0.734117647,4.860,267.3,0.96919188,0.029411765,,,,,,,,,,,,
18,17/07/12,3,32.003,450,PZN,8.19,10.59,10.03,04:30:00,20:00:00,04:30:00,15.5,8.5,3.716129032,1.581176471,3.110,171.05,0.94028705,0,,,,,,,,,,,,
25,24/07/12,4,23.484,0,P,10.77,10.85,9.92,04:30:00,20:00:00,04:30:00,15.5,8.5,0.123870968,2.625882353,10.960,602.8,0.78081519,0,,,,,,,,,,,,
6,24/07/12,4,24.931,50,P,12.22,12.33,11.6,04:30:00,20:00:00,04:30:00,15.5,8.5,0.170322581,2.061176471,9.920,545.6,0.69740242,0,,,,,,,,,,,,
15,24/07/12,4,23.581,100,P,11.28,11.42,10.55,04:30:00,20:00:00,04:30:00,15.5,8.5,0.216774194,2.456470588,9.390,516.45,0.85247959,0,,,,,,,,,,,,
3,24/07/12,4,25.687,150,P,10.05,10.34,9.5,04:30:00,20:00:00,04:30:00,15.5,8.5,0.449032258,2.371764706,8.780,482.9,0.67032804,0,,,,,,,,,,,,
29,24/07/12,4,26.452,200,P,11.29,11.88,10.98,04:30:00,20:00:00,04:30:00,15.5,8.5,0.913548387,2.541176471,6.830,375.65,0.73228144,0,,,,,,,,,,,,
17,24/07/12,4,26.2341,250,P,9.25,9.99,8.95,04:30:00,20:00:00,04:30:00,15.5,8.5,1.145806452,2.936470588,4.920,270.6,0.88101071,0,,,,,,,,,,,,
27,24/07/12,4,27.1236,300,P,12.19,13.04,11.76,04:30:00,20:00:00,04:30:00,15.5,8.5,1.316129032,3.614117647,3.850,211.75,0.65932348,0,,,,,,,,,,,,
14,24/07/12,4,27.986,350,P,12.42,13.45,11.7,04:30:00,20:00:00,04:30:00,15.5,8.5,1.59483871,4.941176471,2.960,162.8,0.76366404,0,,,,,,,,,,,,
1,24/07/12,4,29.123,400,P,9.81,10.99,9.2,04:30:00,20:00:00,04:30:00,15.5,8.5,1.827096774,5.054117647,2.090,114.95,0.72840557,0,,,,,,,,,,,,
8,24/07/12,4,29.786,450,P,7.06,8.73,7.49,04:30:00,20:00:00,04:30:00,15.5,8.5,2.585806452,3.501176471,1.350,74.25,0.44394815,0,,,,,,,,,,,,
11,24/07/12,4,24.545,0,PZ,11.67,12.41,11.96,04:30:00,20:00:00,04:30:00,15.5,8.5,1.145806452,1.270588235,8.010,440.55,0.9420465,0,,,,,,,,,,,,
21,24/07/12,4,24.245,50,PZ,11.98,12.81,11.88,04:30:00,20:00:00,04:30:00,15.5,8.5,1.28516129,2.625882353,7.500,412.5,0.69431355,0.004651163,4,33.74208799,4,,,4,3.2,0.8,1,2.4,0.6,
28,24/07/12,4,24.062,100,PZ,12.17,13.19,12.25,04:30:00,20:00:00,04:30:00,15.5,8.5,1.579354839,2.654117647,6.190,340.45,0.74958739,0,0,13.43316262,0.6,,,0,0.6,,0.4,,0.2,
19,24/07/12,4,25.458,150,PZ,12.12,13.24,11.59,04:30:00,20:00:00,04:30:00,15.5,8.5,1.734193548,4.658823529,6.190,340.45,0.79263253,0,0.3333,7.340506816,0.8,,,0.3333,0.2,0.6,,0.8,,
12,24/07/12,4,26.568,200,PZ,8.99,10.34,8.8,04:30:00,20:00:00,04:30:00,15.5,8.5,2.090322581,4.348235294,5.600,308,0.64932673,0,0.5,9.828197934,0.6,,,0.5,0.2,0.4,0.4,0.2,,
13,24/07/12,4,26.456,250,PZ,10.95,12.59,11.17,04:30:00,20:00:00,04:30:00,15.5,8.5,2.539354839,4.009411765,3.340,183.7,0.80017863,0,0.5,2.551634154,1,,,0.5,0.8,0.2,0.2,0.2,,0.6
22,24/07/12,4,27.326,300,PZ,8.71,10.39,8.92,04:30:00,20:00:00,04:30:00,15.5,8.5,2.601290323,4.150588235,2.880,158.4,0.68570288,0,4,,,,,4,,,,,,
20,24/07/12,4,27.998,350,PZ,10.02,11.78,10.22,04:30:00,20:00:00,04:30:00,15.5,8.5,2.72516129,4.404705882,2.010,110.55,0.63142853,0,,28.82912162,2.8,,,,,0.2,1,1,0.8,
9,24/07/12,4,29.124,400,PZ,6.65,8.47,6.89,04:30:00,20:00:00,04:30:00,15.5,8.5,2.818064516,4.461176471,1.420,78.1,0.69886737,0,13,,,,,13,1.8,,,,,
30,24/07/12,4,29.978,450,PZ,8.67,10.91,9.18,04:30:00,20:00:00,04:30:00,15.5,8.5,3.468387097,4.884705882,1.160,63.8,0.88960375,0.023255814,,106.0253712,1.6,,,,2,,0.2,0.6,0.4,0.4
2,24/07/12,4,22.621,0,PZN,14.92,15.61,13.55,04:30:00,20:00:00,04:30:00,15.5,8.5,1.068387097,5.816470588,8.160,448.8,0.75091748,0,0,1.68314915,0.2,,,0,,0.2,,0.2,,
24,24/07/12,4,23.576,50,PZN,11.13,11.93,10.99,04:30:00,20:00:00,04:30:00,15.5,8.5,1.238709677,2.654117647,7.180,394.9,0.93219464,0,0,6.600991655,0.6,,,0,,0.6,,0.6,,
5,24/07/12,4,24.658,100,PZN,10.71,11.52,10.1,04:30:00,20:00:00,04:30:00,15.5,8.5,1.254193548,4.009411765,7.170,394.35,0.76211429,0,0,,,,,0,,,,,,
16,24/07/12,4,25.321,150,PZN,11.77,12.64,9.8,04:30:00,20:00:00,04:30:00,15.5,8.5,1.347096774,8.018823529,5.950,327.25,0.94944648,0.015151515,,2.838268183,0.2,,,,,0.2,0.2,,,
10,24/07/12,4,25.986,200,PZN,8.99,9.88,8.02,04:30:00,20:00:00,04:30:00,15.5,8.5,1.378064516,5.251764706,5.320,292.6,0.70410845,0,0,,,,,0,0.2,,,,,
26,24/07/12,4,26.59,250,PZN,10.29,11.19,6.69,04:30:00,20:00:00,04:30:00,15.5,8.5,1.393548387,12.70588235,4.840,266.2,0.67706873,0,,,,,,,,,,,,
4,24/07/12,4,27.569,300,PZN,7.74,8.67,8.02,04:30:00,20:00:00,04:30:00,15.5,8.5,1.44,1.835294118,4.490,246.95,0.81780617,0,,,0.8,,,,,0.8,,,0.8,
7,24/07/12,4,28.456,350,PZN,6.92,7.89,7.2,04:30:00,20:00:00,04:30:00,15.5,8.5,1.501935484,1.948235294,4.080,224.4,0.70020124,0,0,,,,,0,,,,,,
23,24/07/12,4,29.345,400,PZN,7.12,8.24,8.21,04:30:00,20:00:00,04:30:00,15.5,8.5,1.734193548,0.084705882,3.850,211.75,0.696947,0,,2.129739438,0.2,,,,,0.2,,0.2,,
18,24/07/12,4,29.783,450,PZN,8.26,9.92,7.04,04:30:00,20:00:00,04:30:00,15.5,8.5,2.570322581,8.131764706,3.280,180.4,0.67002676,0,0,,,,,0,0.2,,,,,
25,31/07/12,5,19.377,0,P,8.56,9.09,8.92,04:30:00,20:00:00,04:30:00,15.5,8.5,0.820645161,0.48,8.650,475.75,,,,,,,,,,,,,,
6,31/07/12,5,20.234,50,P,8.11,8.69,8.38,04:30:00,20:00:00,04:30:00,15.5,8.5,0.898064516,0.875294118,8.500,467.5,,,,,,,,,,,,,,
15,31/07/12,5,23.966,100,P,8.64,9.24,8.808,04:30:00,20:00:00,04:30:00,15.5,8.5,0.929032258,1.219764706,5.900,324.5,,,,,,,,,,,,,,
3,31/07/12,5,24.684,150,P,8.4,9.07,8.58,04:30:00,20:00:00,04:30:00,15.5,8.5,1.037419355,1.383529412,4.950,272.25,,,,,,,,,,,,,,
29,31/07/12,5,25.328,200,P,7.48,8.23,7.57,04:30:00,20:00:00,04:30:00,15.5,8.5,1.161290323,1.863529412,4.210,231.55,,,,,,,,,,,,,,
17,31/07/12,5,24.356,250,P,8.17,8.95,8.291,04:30:00,20:00:00,04:30:00,15.5,8.5,1.207741935,1.860705882,2.740,150.7,,,,,,,,,,,,,,
27,31/07/12,5,25.637,300,P,8.19,9.32,8.607,04:30:00,20:00:00,04:30:00,15.5,8.5,1.749677419,2.013176471,2.730,150.15,,,,,,,,,,,,,,
14,31/07/12,5,26.458,350,P,7.31,8.71,7.85,04:30:00,20:00:00,04:30:00,15.5,8.5,2.167741935,2.428235294,2.560,140.8,,,,,,,,,,,,,,
1,31/07/12,5,27.023,400,P,6.14,8.05,7.12,04:30:00,20:00:00,04:30:00,15.5,8.5,2.957419355,2.625882353,1.470,80.85,,,,,,,,,,,,,,
8,31/07/12,5,28.976,450,P,5.68,8.07,7.05,04:30:00,20:00:00,04:30:00,15.5,8.5,3.700645161,2.88,0.700,38.5,,,,,,,,,,,,,,
11,31/07/12,5,19.853,0,PZ,9.08,9.37,8.92,04:30:00,20:00:00,04:30:00,15.5,8.5,0.449032258,1.270588235,8.020,441.1,,,,,,,,,,,,,,
21,31/07/12,5,20.476,50,PZ,9.09,9.98,9.28,04:30:00,20:00:00,04:30:00,15.5,8.5,1.378064516,1.976470588,7.160,393.8,,,0.85714286,18.59781889,2.6,,,0.85714286,1.4,1.4,0.6,1.8,,0.2
28,31/07/12,5,23.966,100,PZ,7.64,8.64,7.84,04:30:00,20:00:00,04:30:00,15.5,8.5,1.548387097,2.258823529,7.100,390.5,,,,,,,,,,,,,,
19,31/07/12,5,24.698,150,PZ,6.78,8.1,7.15,04:30:00,20:00:00,04:30:00,15.5,8.5,2.043870968,2.682352941,6.550,360.25,,,0,14.93994398,1.6,,,0,,1.6,,1.6,,
12,31/07/12,5,24.987,200,PZ,8.49,9.94,8.74,04:30:00,20:00:00,04:30:00,15.5,8.5,2.24516129,3.388235294,5.700,313.5,,,0,,0.2,,,0,0.2,,,,,0.2
13,31/07/12,5,24.568,250,PZ,6.99,8.57,7.28,04:30:00,20:00:00,04:30:00,15.5,8.5,2.446451613,3.642352941,3.890,213.95,,,,,,,,,,,,,,
22,31/07/12,5,25.035,300,PZ,7.34,9.08,7.78,04:30:00,20:00:00,04:30:00,15.5,8.5,2.694193548,3.670588235,2.640,145.2,,,0,4.77956625,0.4,,,0,,0.4,,0.4,,
20,31/07/12,5,26.023,350,PZ,6.51,8.47,7.24,04:30:00,20:00:00,04:30:00,15.5,8.5,3.03483871,3.472941176,0.800,44,,,2.666667,12.45269995,2.2,,,2.666667,1.6,0.6,0.4,0.6,,1.2
9,31/07/12,5,27.213,400,PZ,4.99,7.39,6.09,04:30:00,20:00:00,04:30:00,15.5,8.5,3.716129032,3.670588235,0.690,37.95,,,,,,,,,,,,,,
30,31/07/12,5,28.465,450,PZ,5.51,8.88,7.56,04:30:00,20:00:00,04:30:00,15.5,8.5,5.218064516,3.727058824,0.460,25.3,,,0,1.04413664,0.2,,,0,0.2,,,0.2,,
2,31/07/12,5,19.948,0,PZN,8.64,9.5,8.53,04:30:00,20:00:00,04:30:00,15.5,8.5,1.331612903,2.738823529,16.320,897.6,,,0,22.65616029,2,,,0,,2,,2,,
24,31/07/12,5,20.687,50,PZN,7.32,8.3,8.15,04:30:00,20:00:00,04:30:00,15.5,8.5,1.517419355,0.423529412,15.220,837.1,,,0,21.8265111,0.2,,,0,,0.2,,0.2,,
5,31/07/12,5,23.945,100,PZN,7.02,8.21,7.63,04:30:00,20:00:00,04:30:00,15.5,8.5,1.842580645,1.637647059,10.580,581.9,,,,,,,,,,,,,,
16,31/07/12,5,24.012,150,PZN,7.29,8.63,8.41,04:30:00,20:00:00,04:30:00,15.5,8.5,2.07483871,0.621176471,7.630,419.65,,,,,,,,,,,,,,
10,31/07/12,5,23.568,200,PZN,7.23,8.71,6.93,04:30:00,20:00:00,04:30:00,15.5,8.5,2.291612903,5.025882353,7.540,414.7,,,0,,0.2,,,0,0.2,,,,,0.2
26,31/07/12,5,24.238,250,PZN,7.39,8.98,8.84,04:30:00,20:00:00,04:30:00,15.5,8.5,2.461935484,0.395294118,7.460,410.3,,,,,,,,,,,,,,
4,31/07/12,5,25.023,300,PZN,6.18,7.92,7.6,04:30:00,20:00:00,04:30:00,15.5,8.5,2.694193548,0.903529412,5.460,300.3,,,,,,,,,,,,,,
7,31/07/12,5,26.789,350,PZN,5.02,6.9,6.72,04:30:00,20:00:00,04:30:00,15.5,8.5,2.910967742,0.508235294,5.110,281.05,,,,,,,,,,,,,,
23,31/07/12,5,27.123,400,PZN,6.01,7.87,6.94,04:30:00,20:00:00,04:30:00,15.5,8.5,2.88,2.625882353,3.080,169.4,,,,,,,,,,,,,,
18,31/07/12,5,28.003,450,PZN,7.85,9.86,8.83,04:30:00,20:00:00,04:30:00,15.5,8.5,3.112258065,2.908235294,1.800,99,,,0,,0.2,,,0,0.2,,,,,0.2
25,07/08/12,6,18.236,0,P,8.29,8.31,8.14,04:30:00,20:00:00,04:30:00,15.5,8.5,0.030967742,0.48,6.990,384.45,,,,,,,,,,,,,,
6,07/08/12,6,17.57,50,P,9.17,9.25,9.02,04:30:00,20:00:00,04:30:00,15.5,8.5,0.123870968,0.649411765,6.730,370.15,,,,,,,,,,,,,,
15,07/08/12,6,21.855,100,P,8.91,9.02,8.76,04:30:00,20:00:00,04:30:00,15.5,8.5,0.170322581,0.734117647,3.730,205.15,,,,,,,,,,,,,,
3,07/08/12,6,23.605,150,P,7.65,7.89,7.61,04:30:00,20:00:00,04:30:00,15.5,8.5,0.371612903,0.790588235,3.680,202.4,,,,,,,,,,,,,,
29,07/08/12,6,24.63,200,P,7.81,8.12,7.801,04:30:00,20:00:00,04:30:00,15.5,8.5,0.48,0.900705882,3.400,187,,,,,,,,,,,,,,
17,07/08/12,6,26.023,250,P,8.19,8.55,8.13,04:30:00,20:00:00,04:30:00,15.5,8.5,0.557419355,1.185882353,2.960,162.8,,,,,,,,,,,,,,
27,07/08/12,6,27.102,300,P,6.69,7.26,6.82,04:30:00,20:00:00,04:30:00,15.5,8.5,0.882580645,1.242352941,2.120,116.6,,,,,,,,,,,,,,
14,07/08/12,6,28.146,350,P,7.64,8.37,7.89,04:30:00,20:00:00,04:30:00,15.5,8.5,1.130322581,1.355294118,2.050,112.75,,,,,,,,,,,,,,
1,07/08/12,6,28.456,400,P,6.07,6.98,6.49,04:30:00,20:00:00,04:30:00,15.5,8.5,1.409032258,1.383529412,1.990,109.45,,,,,,,,,,,,,,
8,07/08/12,6,29.456,450,P,5.18,6.65,6.12,04:30:00,20:00:00,04:30:00,15.5,8.5,2.276129032,1.496470588,1.930,106.15,,,,,,,,,,,,,,
11,07/08/12,6,17.475,0,PZ,8.99,9.23,8.81,04:30:00,20:00:00,04:30:00,15.5,8.5,0.371612903,1.185882353,6.270,344.85,,,,,,,,,,,,,,
21,07/08/12,6,18.249,50,PZ,8.58,8.98,8.5,04:30:00,20:00:00,04:30:00,15.5,8.5,0.619354839,1.355294118,5.730,315.15,,,1.5,12.56791,1,,,1.5,0.4,0.6,0.6,0.4,,
28,07/08/12,6,22.046,100,PZ,7.79,8.48,8.02,04:30:00,20:00:00,04:30:00,15.5,8.5,1.068387097,1.298823529,5.490,301.95,,,0.5,4.61965157,0.6,,,0.5,0.2,0.4,,0.4,,0.2
19,07/08/12,6,23.451,150,PZ,8.36,9.18,8.63,04:30:00,20:00:00,04:30:00,15.5,8.5,1.269677419,1.552941176,3.770,207.35,,,0.125,19.58924941,1.8,,,0.125,0.2,1.6,,2.8,,
12,07/08/12,6,25.001,200,PZ,7.09,8.03,7.45,04:30:00,20:00:00,04:30:00,15.5,8.5,1.455483871,1.637647059,2.710,149.05,,,,,,,,,,,,,,
13,07/08/12,6,26.1465,250,PZ,6.79,8.01,7.39,04:30:00,20:00:00,04:30:00,15.5,8.5,1.889032258,1.750588235,1.740,95.7,,,,,,,,,,,,,,
